lat,lon,time,rel_orbit,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100,sample_101,sample_102,sample_103,sample_104,sample_105,sample_106,sample_107,sample_108,sample_109,sample_110,sample_111,sample_112,sample_113,sample_114,sample_115,sample_116,sample_117,sample_118,sample_119,sample_120,sample_121,sample_122,sample_123,sample_124,sample_125,sample_126,sample_127
-24.400868,35.197410999999995,550481014.2724502,334,9.5890,8.2100,7.3170,9.0510,10.0840,10.2280,12.0770,12.2070,12.3940,9.2930,9.6990,8.6040,9.2990,8.0750,8.9740,8.7520,8.1220,10.4350,9.3330,11.7810,10.1610,10.6310,7.7870,11.1290,11.5450,11.5540,11.7270,13.1460,15.4110,15.2590,17.3170,17.8760,22.7720,24.3050,35.2770,33.1240,28.9000,28.6870,33.7890,45.0550,46.7090,55.4470,57.1070,63.2160,105.3190,139.9270,252.8440,276.2830,392.9000,1487.7640,1075.6980,935.2050,928.3490,845.0990,664.1710,629.5280,607.1440,593.2990,601.1190,554.2900,595.0560,647.5840,859.1610,1209.4520,1799.1020,2309.2360,2506.3320,1325.2070,532.7390,199.3980,112.3210,64.5510,49.4130,36.1340,34.0330,25.1660,19.2950,20.1230,18.4780,15.7580,11.0220,13.0630,11.9680,9.0710,8.9930,7.5870,7.7980,7.6280,7.5250,5.9300,6.8930,4.8040,5.4550,5.8780,5.1520,4.8710,4.0030,4.6770,4.8520,4.9700,4.3340,3.5250,3.8120,3.5670,3.8780,2.9620,3.4460,3.2260,3.1150,3.0920,3.3860,3.8040,3.9980,4.2290,3.8920,3.9530,5.0130,5.9860,6.6640,7.2100,7.0170,9.1820,6.9320,6.3620,4.0960,3.4170,2.1950,1.2290
-24.40393,35.21217,541149803.688309,334,14.2110,13.1220,10.7200,10.2340,10.7630,11.2250,11.9730,14.3670,12.3030,12.4160,12.7480,13.3990,14.9680,16.8870,16.8020,16.9280,22.1640,21.3000,23.4960,31.0070,35.1700,37.1390,34.8660,34.6620,36.0760,49.0600,48.3100,52.6070,67.9510,84.0320,124.8440,243.8910,513.3290,865.4530,2710.5120,5802.1580,3912.5760,1643.3210,1112.2500,768.6810,679.9530,612.7290,525.2210,544.4040,499.8980,333.7570,307.8420,162.0680,83.8960,52.4950,42.4500,34.5910,28.1140,24.4930,19.8010,16.8520,14.9090,13.4200,12.1040,12.7800,10.1000,11.0810,9.1120,8.7830,7.1850,7.7850,6.5290,6.5960,7.0740,5.8560,6.3680,5.9080,5.6690,6.3310,5.8470,5.4080,6.6090,6.3250,6.4970,5.7300,4.8940,5.5820,5.7650,5.7930,4.8970,5.3800,5.4370,5.4510,4.8550,4.8470,6.0360,6.2200,5.7640,5.9760,7.9110,10.4340,14.0000,14.0220,24.6250,45.1000,54.9940,79.6580,113.3730,157.3020,130.2640,78.4360,90.1070,91.7740,88.1220,89.6760,65.0040,56.8580,45.1160,56.5720,69.3970,32.9550,49.9040,54.5220,35.3740,27.7220,28.0200,27.4620,16.3650,12.0620,9.7200,6.9710,1.6550,1.1580
-24.179313999999998,35.202121999999996,514842875.0944755,227,155.8960,86.2110,78.5980,87.7510,100.3090,135.8460,101.3270,143.1280,192.0210,343.9370,299.5010,305.7810,580.1370,384.5650,283.0270,312.1730,225.1980,240.1980,304.8880,330.0800,221.6330,187.9880,203.5380,227.9830,209.3910,93.2660,101.0970,126.9080,104.2410,85.4460,82.1720,67.8590,62.1850,47.7970,52.3170,50.8810,44.8250,48.9320,44.4450,41.2910,41.6870,37.6490,50.9510,34.3120,33.0220,34.5990,37.0780,34.0860,36.1910,38.2590,42.7780,45.1920,43.6840,39.2480,49.5060,52.6110,51.4120,45.0910,54.2400,70.5040,59.9270,64.9190,64.8300,69.8190,70.8640,67.0580,69.1110,55.9160,49.4470,42.6350,41.2270,42.0960,36.0760,37.4770,37.2750,35.0230,33.5420,36.8820,37.0080,38.2650,43.1200,41.5250,36.9570,39.9780,46.1350,48.5510,57.2390,53.4520,52.0010,36.3350,28.7510,19.2640,20.1310,31.0730,22.4640,22.6750,21.6080,20.6320,20.0700,20.1830,18.8500,18.7810,15.5720,18.3550,16.1990,13.5620,15.1300,15.8020,18.5810,18.5990,14.4560,13.8860,17.2930,20.8180,21.1220,26.2290,15.2470,12.2230,15.9110,15.2650,22.8220,17.6770,32.4960,104.4280,33.0420,21.0250,5.3640,3.0790
-24.176192999999998,35.206427999999995,601156487.3526795,227,82.4420,174.3050,57.8340,68.7820,141.3640,145.6210,96.1570,95.7480,84.7980,63.9540,55.0770,48.4150,49.1400,57.7600,53.4580,58.6270,59.7210,72.8580,98.4720,120.6140,174.8710,251.0220,212.3690,382.8410,380.1460,404.2700,305.3610,283.5330,246.3780,304.2680,380.5350,452.3210,494.5300,398.9710,131.8720,78.3360,65.3650,49.0170,46.3220,50.1530,49.1100,43.0010,32.7160,31.4210,34.1830,31.7950,27.2090,25.6170,22.9900,21.9980,23.7390,18.6050,18.2120,18.6270,17.1310,16.4850,21.9960,23.5370,24.2430,24.6030,26.7940,26.7730,23.1800,22.7910,22.9480,23.3200,21.2040,19.2250,22.6250,22.1220,21.6960,26.3110,30.7850,32.9720,30.4690,29.4350,21.6320,20.2840,23.8720,18.6220,20.5360,17.9870,20.0740,20.8920,19.5940,20.0650,19.3510,26.3070,23.1320,30.8290,37.3170,40.5780,63.7730,74.2680,76.6740,38.2070,29.6510,28.5350,22.4500,18.8750,14.9200,14.7170,20.3810,26.6540,18.1800,21.0220,19.1580,12.6610,15.4280,15.2330,29.4280,13.1840,12.5110,22.6580,23.1050,15.0230,18.6180,23.3050,24.6560,20.2830,24.1600,15.4320,6.6650,5.9840,17.2500,8.1250,11.4940,123.2620
-24.177754999999998,35.207859,521841278.44445133,227,234.2200,154.3450,87.6490,63.5330,84.1790,113.9250,119.2860,140.3750,240.1700,228.2430,390.1650,241.7890,246.3750,295.1600,329.5510,191.3110,102.4760,125.5050,162.4080,227.1610,324.3430,353.7700,312.6620,355.4560,392.3040,451.0310,297.7720,409.3510,366.1170,218.6720,227.7480,253.0610,208.6360,178.7220,169.1840,143.5900,91.7470,82.0420,67.0320,65.4210,66.2360,60.6830,58.7940,61.5540,40.3790,54.2260,59.0010,57.2190,79.1230,55.2810,52.2920,60.1510,46.3130,52.0970,57.5740,62.2550,58.0910,67.3370,64.8200,46.8220,52.5100,31.3570,35.6030,34.1080,38.4080,43.7100,39.4180,39.3970,39.8630,35.2620,32.6990,41.8280,41.6920,43.4740,48.9980,53.9030,46.7160,45.0440,49.2710,42.2730,47.6980,33.8190,30.8880,28.6060,32.3460,29.4580,27.6680,23.4540,26.8550,29.2900,29.3260,30.6060,23.8730,24.8070,26.7600,27.1800,41.1350,36.3620,50.3840,53.5330,61.0500,44.4180,40.7630,42.7640,25.9430,25.4930,32.4560,29.3090,19.7840,22.0830,20.8650,24.2350,23.5860,18.2070,28.1150,26.3010,18.2590,25.7070,21.2320,19.0240,22.3820,48.3830,37.4840,25.2710,10.1400,4.6770,5.5200,5.3720
-24.402984999999997,35.206153,585473013.6681311,334,11.4590,12.1270,10.9440,9.9920,8.1240,9.9760,12.0790,13.3000,10.8420,11.8780,12.2330,15.3920,14.1240,12.5430,11.9390,12.0640,13.5700,15.7100,19.7930,17.4580,18.1500,17.7860,18.8690,18.7860,22.3140,28.2690,29.4890,27.7390,29.0420,26.3760,34.3680,29.5660,31.0130,29.1860,32.7670,45.5160,57.0940,68.4550,104.5930,173.0470,368.8600,439.7400,522.9690,474.4690,550.3460,659.8650,730.7910,996.5070,993.9390,1049.9510,1083.1220,1379.0960,2151.3620,3909.4350,6015.1370,2347.5540,871.6370,456.8120,200.5350,103.5550,78.8630,54.3350,42.2730,38.5620,28.4210,27.3290,26.1500,23.3870,19.9070,19.2850,15.7540,13.1250,11.1480,8.9300,9.6570,9.8480,7.8470,10.1120,11.5470,7.2180,6.8320,6.7100,6.3680,5.3620,4.7860,4.9040,5.4710,4.9430,5.3190,4.0200,5.3140,4.7570,4.8800,4.3170,4.3990,5.2940,6.0300,4.7190,3.3940,4.5670,3.6320,4.0890,5.0040,4.3200,4.6000,5.0530,5.0150,9.9170,12.1230,18.0900,35.1850,39.0670,45.0450,51.9730,35.1280,38.5670,30.2680,22.2620,27.3670,24.4840,21.9300,17.9590,17.6940,10.3490,9.2550,9.2970,3.0430,1.1500
-24.180479,35.20071,566164480.5061078,227,64.2570,58.9010,59.7470,76.2200,81.7720,118.8720,105.8990,150.5410,222.3920,361.2210,498.0020,367.3380,361.8130,196.4970,214.8960,200.5400,173.7970,197.5270,223.0830,121.5770,108.3050,92.5280,105.7300,94.8650,75.8280,63.6350,46.5110,53.0780,47.8760,45.6690,50.6070,49.5400,39.5900,47.4260,65.5250,48.7330,43.5930,35.6680,30.0580,30.5010,30.8010,28.9770,32.7370,30.0910,29.7910,37.2980,31.8510,33.6380,38.4780,32.0100,35.1060,46.4000,47.5830,51.9650,48.8140,55.7740,58.5180,71.5790,75.8360,74.9700,73.6560,61.8590,59.9240,54.5380,67.7170,67.6120,65.3100,63.0700,54.1700,44.7610,40.6050,29.5070,35.6810,30.9430,32.1740,36.5770,38.8360,42.1660,34.0820,32.7960,34.8070,37.3140,42.5790,46.2710,71.1430,52.3740,47.2930,28.7670,31.3210,23.8300,22.8360,24.8710,24.8260,22.8810,16.8880,17.2680,16.1980,19.4170,15.7860,17.7280,21.7290,15.1390,15.6880,17.3790,18.2710,18.1680,17.3770,13.8780,11.2440,14.4610,17.3920,14.0980,17.4160,15.3720,17.9450,16.9320,15.2830,16.7290,12.4210,12.1320,11.7360,13.6160,16.1670,21.5190,37.4610,22.6080,18.8890,6.5780
-24.179305,35.200435999999996,542836476.8769734,227,54.1730,45.8640,53.5930,52.4970,61.2350,63.6040,94.1030,97.7300,138.9570,109.9160,147.2510,178.6860,151.2920,126.0830,131.1800,134.6880,179.9670,154.7060,137.9530,120.1900,99.3930,87.5490,81.3410,54.5150,53.9110,45.1390,60.2320,60.2490,59.8850,60.6000,66.2200,53.9070,42.4080,37.0590,32.4350,29.5340,27.7350,26.7580,23.1880,25.9180,20.9760,18.0520,27.3990,27.7810,19.6520,31.6110,24.8940,26.9470,20.1060,21.0920,19.5660,19.9350,18.8550,17.5140,22.7530,26.0500,21.2560,22.1410,23.4600,29.2840,33.0720,24.3220,31.1550,28.3260,31.4570,27.5060,29.0740,25.8350,30.9860,44.9760,57.9260,59.6510,54.3570,41.7680,26.8120,21.2670,21.3050,23.6740,22.2310,29.1470,29.2150,33.5210,37.6390,30.0590,21.6610,16.9090,13.9360,15.3490,18.6450,16.7620,11.6400,9.9660,9.1310,10.6130,9.9050,10.6240,9.9350,9.4800,10.9300,9.2450,7.3590,5.9390,9.1060,7.5220,7.6200,10.0170,7.7420,7.7140,8.7760,10.1650,8.3640,7.3370,6.8610,9.2910,10.1880,7.5120,10.9790,5.6560,10.3240,10.2620,11.4200,10.2340,18.9120,19.0020,11.5240,4.2420,3.6210,6.1160
-24.178227,35.200686,596490887.0979152,227,96.6630,119.9380,104.6650,84.5070,71.7580,93.8510,117.7060,150.5370,126.3390,77.9520,112.4430,146.0400,95.9480,123.4450,199.7470,137.1610,234.0690,234.3530,408.7690,277.7790,192.8180,242.4210,218.5260,188.6550,188.9580,148.4740,131.6820,122.5420,113.5160,126.3320,174.5250,216.7320,164.4720,143.9970,84.9390,55.7290,52.8850,41.1390,47.1610,38.4980,37.9090,35.7950,35.9600,45.5830,34.7910,31.4840,33.3460,31.2090,41.4110,39.4320,41.8330,35.1290,43.5640,37.6650,40.4950,41.1240,34.2180,37.4300,41.6290,34.0960,33.5200,42.9210,41.4440,48.6290,34.3050,34.3640,41.8360,45.8240,42.0520,43.9670,43.8230,43.5200,36.6810,39.7730,35.0430,38.1340,51.6860,34.8000,40.2660,44.5870,44.0880,62.4410,71.0750,75.1990,49.3360,36.0870,33.0320,24.4470,19.6760,21.2140,37.6090,36.0660,24.1780,16.6360,17.7420,19.6230,22.6170,35.8060,25.8280,15.0990,20.2090,14.5640,14.9260,14.1330,12.4970,15.3280,18.5640,16.3950,10.8200,12.7260,11.3230,12.8230,11.5050,12.9980,14.7520,15.6530,13.1830,21.3630,15.0810,11.7030,13.8530,14.2750,21.6250,19.8510,27.9480,21.4880,8.5440,5.2110
-24.400899,35.203857,604135414.0412066,334,10.3350,9.4400,9.1610,7.4090,7.5790,6.1550,6.1650,7.2250,6.1080,6.3360,5.8520,6.2940,6.9430,6.7240,6.1450,6.3830,7.1320,7.4580,7.4430,8.3720,9.0760,10.3290,9.9370,9.3020,9.4270,11.2340,11.5900,11.6650,13.3280,18.7150,15.7210,13.8040,17.4270,20.2490,19.5210,19.5080,20.7210,23.5220,26.5080,31.0510,40.8980,48.8290,67.1860,129.1670,248.9080,562.9310,654.2900,692.8890,626.0300,629.4000,562.7790,667.8750,645.5120,600.2450,596.3320,525.2190,510.3290,645.9430,770.6160,1625.5700,1795.7170,738.0590,360.8600,252.1690,147.3090,113.7060,57.2850,33.7020,29.4140,29.5030,22.2200,19.9540,19.7750,19.1180,15.0760,11.1590,11.5510,9.2330,8.2330,7.8750,8.1040,6.2730,6.6280,6.2180,6.3870,5.3620,5.6490,5.6070,5.2640,4.9820,4.7910,4.2360,4.4010,4.0560,4.1690,3.5270,3.5170,3.5220,3.2260,2.9530,2.9560,3.1360,2.8400,2.9030,2.9430,3.3160,2.7430,2.9470,2.9780,2.9260,2.6740,3.0570,2.9320,2.4990,3.5930,3.8520,5.0290,7.7410,10.1410,11.2440,13.2310,18.6110,30.5570,23.0930,22.0590,12.7920,11.7090,7.2680
