lat,lon,time,rel_orbit,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100,sample_101,sample_102,sample_103,sample_104,sample_105,sample_106,sample_107,sample_108,sample_109,sample_110,sample_111,sample_112,sample_113,sample_114,sample_115,sample_116,sample_117,sample_118,sample_119,sample_120,sample_121,sample_122,sample_123,sample_124,sample_125,sample_126,sample_127
-24.30378,34.294817,2018-11-29 07:27:15.313354,277,5.9370,4.8710,5.3590,5.1140,4.7550,4.5840,4.3010,4.2740,4.9960,4.3640,5.0500,4.9830,4.4030,4.4800,4.8240,4.5990,5.3570,4.6990,4.6510,4.7430,4.6350,4.6680,4.4740,4.6550,4.8060,5.1230,5.4260,5.4820,5.5020,6.0700,6.0390,6.4820,6.2610,7.1620,6.8850,7.5600,6.6820,7.0380,8.0780,8.4640,7.7130,8.5440,9.5070,7.1970,9.5890,8.4040,8.6580,9.0340,11.8970,14.7040,15.1520,19.5040,28.0590,49.1770,50.0270,33.8590,25.5290,24.1040,26.6850,26.7970,38.6530,48.3320,40.2700,53.8300,67.1370,103.6130,157.2240,185.9770,151.3900,112.8750,86.0390,83.0180,76.1850,87.4810,101.0060,116.3160,91.3420,93.4810,79.2030,75.7540,90.7340,54.5370,77.0270,57.4520,90.1220,81.9430,85.7180,91.5860,77.8530,77.9620,46.2680,38.6840,28.9100,25.5010,23.8940,25.1050,26.1370,22.5050,22.0440,16.9860,18.5800,14.8690,16.3060,20.3550,24.1830,22.0890,23.3900,29.1280,32.4410,29.3010,29.0320,25.0210,33.1920,30.6460,23.7660,20.6090,18.7800,13.9610,9.0750,6.3790,5.3740,5.2790,4.6070,4.4120,2.0950,2.3700,0.3920,0.2410
-24.302854,34.306318,2016-09-02 19:58:18.254974,170,34.0250,36.3750,33.8570,29.3530,28.6360,31.2240,27.7470,29.4740,27.6610,31.2470,33.2800,40.1570,56.5320,68.3260,72.4070,77.4130,105.1270,133.9990,215.2150,263.0200,294.2970,370.6620,262.3830,164.9150,134.7920,128.0610,130.1320,175.1630,242.3900,254.1940,299.4750,368.4650,445.3430,417.7300,430.2900,275.2040,262.2530,260.1150,424.6050,5438.6330,1932.6340,394.8130,138.2270,82.4090,64.4040,76.2630,63.5390,58.9680,54.4160,54.9900,58.9560,57.4590,81.9300,84.4380,94.9860,122.8000,189.0570,170.6070,149.4340,171.2060,276.5830,318.2660,388.3940,481.6760,809.5210,280.6180,109.9340,85.8770,68.0120,52.5930,50.3510,41.8360,43.5700,42.0950,44.7610,40.2770,35.1550,38.0510,40.9790,36.8010,35.5190,41.3910,33.0710,39.1370,40.3560,30.9120,42.5750,33.4200,39.6430,37.1610,37.7220,42.9140,40.1980,36.2080,39.5120,32.7220,35.0350,29.0940,25.7780,24.1420,24.9280,23.5890,17.1150,16.6410,20.4320,18.2660,16.9300,15.8210,11.8200,13.8390,16.5020,15.7760,15.8750,16.7180,20.9560,23.6810,30.9810,40.9680,71.3100,23.9630,13.2980,13.8910,15.0640,12.3110,17.6850,16.1350,19.6470,8.5570
-24.305180999999997,34.290245,2017-03-18 07:27:06.421524,277,3.4630,3.6970,3.5880,3.5980,2.9090,3.5070,3.1840,3.0730,2.9130,3.2200,3.3740,3.1220,3.2260,2.7300,3.1390,3.3150,3.6630,3.3020,3.0640,2.8330,3.0330,3.0370,3.3850,3.6360,3.1710,3.8710,4.6060,4.2250,4.2660,4.7040,5.1760,4.7090,5.4930,5.2920,6.0080,4.9830,5.3080,5.2120,5.8880,5.9190,6.2070,8.7920,9.1150,6.7340,6.6730,7.4350,8.6920,8.8960,18.6170,22.8270,21.3180,16.9110,22.2950,19.6780,17.9850,16.0960,16.4760,16.3570,22.3220,22.3370,22.2400,39.5640,36.6830,33.7060,33.3870,43.3720,46.2900,57.7460,96.5110,84.9140,57.2590,54.5920,51.3330,54.2950,64.0660,47.4490,61.9740,63.4380,74.1290,108.6220,50.4720,68.0580,59.5450,55.3060,59.6510,55.6580,49.8670,52.8820,69.6630,101.3600,322.5570,435.5570,462.7460,471.3100,156.5710,39.0710,28.0140,23.0120,26.8450,19.1100,14.4930,11.0110,13.8070,12.5110,15.3490,19.0940,23.4250,24.8880,28.5200,26.7020,24.9590,23.5900,15.1070,13.7610,17.9100,28.7860,21.4670,11.6450,12.8880,8.4130,5.4590,5.3830,6.6040,4.6570,4.1300,3.1810,1.4620,0.2490
-24.306262999999998,34.294408,2016-06-21 07:27:07.828246,277,4.3030,3.7950,4.0360,3.6440,3.7110,3.8130,3.6830,3.2600,3.4820,3.1670,3.1460,3.3280,3.0180,3.0130,3.2870,3.2760,3.1840,3.5790,3.0670,3.2800,3.1810,3.0380,3.0800,3.4040,3.6640,3.4960,3.3860,3.8550,3.7900,3.8980,4.1390,4.9250,5.2530,4.8770,4.7280,5.3580,5.0580,5.7060,5.4150,5.6910,5.5180,5.7240,6.5940,6.7340,6.0170,6.2430,6.2140,6.3730,7.2630,9.0220,10.8490,20.9420,24.1100,23.6900,24.0400,21.0120,19.7470,22.6750,20.6320,22.0200,26.7000,28.1440,29.5190,43.3390,53.2610,44.3100,60.2000,76.8190,92.8330,120.3200,87.9500,71.9930,87.8600,82.7440,72.1290,60.8540,54.3570,55.3510,65.6060,54.4840,45.9960,57.5350,76.0210,89.5880,83.0400,67.5560,82.7660,129.8730,716.0120,1369.9920,394.7770,107.8050,66.3680,44.0320,43.4590,40.5590,25.1580,19.6980,28.5440,34.8070,39.1920,58.9290,52.6390,31.6350,21.1300,28.3760,27.9690,22.4290,27.7390,24.0100,19.4660,15.1440,13.0680,12.0220,11.3090,7.9310,12.1860,11.0860,10.2260,8.0630,8.1690,6.7360,5.8590,6.2640,5.7690,6.5060,2.6840,2.8770
-24.305099,34.29473,2017-01-23 07:27:07.858623,277,1.9450,1.9780,1.7050,1.8300,1.2600,1.2180,1.0980,1.0470,1.1920,1.1020,0.9700,0.9780,1.0570,0.9750,1.0420,1.1030,1.1110,1.0620,0.9360,1.0230,1.0060,1.0470,0.9750,1.0560,1.0410,0.9920,1.2250,1.1630,1.2490,1.1720,1.1960,1.2460,1.4440,1.4510,1.4560,1.3400,1.6770,1.6350,1.9200,1.6320,1.8970,1.8950,2.1440,1.9410,2.2710,3.0910,3.3740,7.2560,3.1000,4.4930,3.5320,3.5010,8.5580,7.3190,27.1010,12.6980,16.5420,9.4480,9.6660,6.6330,6.6730,7.1990,7.8530,11.9170,12.2640,11.9630,14.2610,20.6720,24.1870,26.0950,50.4560,39.4140,30.1890,26.9260,36.6190,26.6970,26.9190,32.4870,35.7140,30.3110,43.3370,36.2020,35.6590,47.9820,62.3900,51.5860,45.0910,61.2570,76.6880,121.5800,659.4600,2780.5930,1412.1260,448.0610,104.9060,38.6410,23.4160,20.5120,17.5590,12.4420,11.7500,13.3670,16.1760,21.2840,28.4440,30.9110,30.8930,39.2550,76.0960,63.0800,107.9730,96.7390,52.7950,43.4500,31.4120,25.0750,16.7280,15.7140,12.2650,8.7750,8.8410,5.3220,7.4580,5.6870,6.4800,3.0660,1.8810,1.6660
-24.306092,34.300874,2017-07-23 19:58:26.956337,170,19.5550,24.2980,18.4240,18.2990,25.1540,24.3120,20.4930,29.7750,19.8340,28.5010,38.5840,33.3850,26.2130,32.8950,27.3320,40.6790,43.2120,48.6390,82.8720,103.3750,124.8760,117.8610,119.6270,116.2080,152.6700,179.7010,226.5450,252.7860,269.0200,276.5480,275.8860,164.0840,135.8890,160.6180,171.9380,307.5520,2634.4420,10119.8780,1071.9650,1303.0290,196.6540,128.6610,87.3890,71.7470,51.7620,56.6930,55.9070,70.8950,103.2670,64.4930,73.4400,77.5460,130.0860,261.6670,436.6150,233.5170,114.7290,57.3520,36.4090,29.3280,26.1610,27.6620,24.1190,26.1990,25.1740,25.8690,27.4380,26.6270,25.7440,25.0320,27.8330,22.4060,27.3740,27.9860,32.9810,38.8470,52.8530,50.7130,52.2140,35.9160,25.5840,24.7320,28.7700,33.0330,32.0340,38.2170,28.7780,27.9770,23.8660,19.3250,20.7630,19.2320,16.9410,16.2010,19.6760,26.0950,30.8510,35.8600,44.4230,48.3700,49.0550,62.2690,74.5750,29.3620,12.5940,18.3980,15.7340,13.3680,12.3450,10.2750,10.8650,10.4160,9.8470,8.4890,5.8050,5.6660,5.1160,6.2440,5.3250,4.7780,5.2670,5.2350,3.2660,4.2400,2.5950,0.8820,1.1300,0.1570
-24.302799,34.287241,2018-09-09 07:27:13.858699,277,0.4920,0.5120,0.3650,0.3390,0.3050,0.3330,0.3100,0.3010,0.2810,0.2470,0.2200,0.2430,0.2520,0.2300,0.2100,0.2650,0.2380,0.2710,0.2410,0.2400,0.2610,0.2370,0.2500,0.2280,0.2270,0.2720,0.2640,0.2810,0.2810,0.2850,0.2510,0.3080,0.2550,0.3170,0.3070,0.2630,0.3050,0.3370,0.2850,0.2910,0.2930,0.3530,0.3400,0.3610,0.3430,0.3750,0.4860,0.4800,0.7910,1.2780,1.2050,1.1990,0.9650,0.8620,1.3830,1.9070,1.2240,1.3930,1.2450,1.3380,1.5120,1.7920,1.7250,1.9930,2.2510,3.3690,4.7930,6.8280,4.4450,3.6320,3.3800,4.7730,3.1520,3.4150,7.0150,3.9520,6.1030,7.7330,10.7360,9.4710,12.2220,10.4160,7.1540,7.0700,9.2900,3.4680,5.3240,5.2350,6.3740,9.5920,10.0550,16.7060,41.8890,51.8650,26.7530,9.2720,4.0430,2.7400,1.6300,1.7670,1.4100,1.3060,1.0440,1.0900,1.0200,1.3500,1.2840,1.5030,1.5400,1.5710,2.1020,2.9760,5.0810,3.8760,7.1310,14.7080,13.5140,34.1660,34.8770,28.2290,11.0260,4.9760,2.8030,1.4350,1.5530,0.8680,0.3390,0.2920
-24.305674,34.304314999999995,2016-10-26 19:58:21.809693,170,23.3900,22.3700,22.1460,22.6210,20.3490,25.0080,22.3450,22.6000,24.3980,26.3920,28.4270,26.2400,33.5090,30.5120,31.6720,34.8460,37.8060,55.6960,68.3650,89.6160,121.1960,225.9740,286.5130,272.2600,286.3720,253.7650,220.5300,202.9830,210.7990,263.3410,275.8380,285.9970,336.1570,331.0420,393.8810,399.5850,342.7990,305.6260,323.4380,399.0200,235.5090,196.8860,170.7210,140.1040,126.8760,123.4730,114.2420,99.7910,102.9590,98.4060,79.8140,88.3600,102.4820,92.8460,87.6700,110.2640,115.2130,94.1270,95.0890,135.2220,304.1780,485.5010,588.5220,398.9370,188.2730,106.5030,78.9980,65.6030,62.5260,54.4570,59.8310,55.6160,45.2570,39.1920,43.8620,63.0130,57.7570,59.3520,55.0500,48.1610,49.8690,45.3370,38.9740,41.7440,47.2090,44.0210,48.4070,60.2130,37.8890,39.2520,33.2280,37.5540,35.5190,37.6870,47.4800,55.4970,42.1490,39.2890,29.1450,23.0330,22.0950,23.5140,21.6250,23.6230,23.4840,26.8130,26.2080,32.2510,32.3790,37.5010,30.5260,50.4350,65.8400,69.1310,35.6570,23.6390,24.8090,21.0620,20.6060,19.4390,19.9540,14.8870,12.1310,14.1450,8.7710,8.8290,8.4650,7.0110
-24.306855,34.298542999999995,2018-08-05 19:57:58.497996,170,40.2530,31.8820,23.0200,31.9110,33.1000,38.7460,37.6760,45.1020,49.7950,34.8020,46.9170,123.9590,75.3620,74.8140,158.9190,68.2360,67.0400,55.0970,75.8070,99.7530,151.7970,157.7430,179.5930,173.8850,251.5470,273.3140,379.0370,418.3690,461.0870,386.9330,269.2270,259.6250,255.1670,244.7940,237.5110,338.2780,1133.6820,8026.0250,1169.7400,376.4040,173.9790,172.5170,193.1780,185.2520,166.8510,140.0240,111.9020,87.1890,91.4170,156.3930,323.3780,504.1960,259.9720,113.1800,74.5110,47.7840,37.3540,36.1260,34.4150,28.4030,29.3250,30.3050,32.4450,37.6300,42.1970,35.6220,34.4060,33.7650,32.3460,28.4840,30.3180,36.2070,44.1850,53.6720,50.2500,43.5820,33.6860,34.3120,32.9580,36.1070,41.0650,46.4510,38.6150,31.4710,37.7300,26.0080,21.4950,20.1710,22.6350,17.1250,23.2530,40.4880,51.5760,51.9340,43.1470,61.0750,80.4510,53.2100,22.3600,20.8500,18.5710,11.5410,14.2230,12.9350,14.6090,13.0440,9.6070,10.3730,7.5350,7.5870,7.8080,7.7670,5.3130,7.4210,5.1850,5.5810,5.9990,4.6860,5.4260,6.5310,7.4820,6.2430,4.9970,3.8480,2.5260,2.0280,1.1100,0.5650
-24.305464,34.298204,2018-01-28 19:58:28.584428,170,21.8220,18.3910,19.4010,20.2560,22.3930,26.5480,24.8570,31.1670,34.5820,29.0640,31.0140,39.4540,32.7780,56.1290,48.7330,56.6520,75.6520,108.9090,165.0680,252.1470,339.3810,320.6000,331.6370,430.9410,641.1040,658.5070,743.9380,616.9890,423.6340,350.5540,267.5300,214.2970,184.2220,191.7310,162.6280,162.8010,208.0380,960.7370,150.8460,140.5290,141.1560,159.8480,180.3750,257.8840,259.3690,181.6050,181.7640,196.3160,266.1780,415.1280,1582.4820,565.3440,217.3570,98.2140,62.5300,52.3290,41.1770,45.8540,42.0200,41.5280,45.7570,43.7280,35.4210,47.9740,47.1310,47.3290,48.8770,41.2700,50.7740,60.7720,63.1660,74.9830,96.2100,74.1370,75.0330,53.5530,51.3750,51.9210,52.2520,49.1010,47.9390,37.8780,37.3400,29.1040,42.2400,33.3840,32.6800,29.1750,29.6080,29.2350,38.1230,43.4360,63.9350,88.1750,133.1090,122.4950,80.6110,60.3600,31.6300,26.3350,24.4490,22.1170,17.6510,19.1490,15.9110,14.9790,11.9030,11.4580,12.4170,10.0770,8.6210,6.9020,6.7520,9.3220,8.9600,8.2030,8.4700,8.2010,6.3840,4.3180,5.2340,6.3060,4.7670,3.3100,2.9830,1.3620,1.0620,0.0490
