system:time_start,ssm
"Sep 17, 2016",7.082
"Sep 20, 2016",5.796
"Sep 23, 2016",4.336
"Sep 26, 2016",3.8
"Sep 29, 2016",9.166
"Oct 2, 2016",8.815
"Oct 5, 2016",4.921
"Oct 8, 2016",3.01
"Oct 11, 2016",2.696
"Oct 14, 2016",4.099
"Oct 17, 2016",5.551
"Oct 20, 2016",4.407
"Oct 23, 2016",12.459
"Oct 26, 2016",6.178
"Oct 29, 2016",2.963
"Nov 1, 2016",9.564
"Nov 4, 2016",4.91
"Nov 7, 2016",5.801
"Nov 10, 2016",19.3
"Nov 13, 2016",18.4
"Nov 16, 2016",11.761
"Nov 19, 2016",11.112
"Nov 22, 2016",7.904
"Nov 25, 2016",13.087
"Nov 28, 2016",6.067
"Dec 1, 2016",17.415
"Dec 4, 2016",11.159
"Dec 7, 2016",4.558
"Dec 10, 2016",14.128
"Dec 13, 2016",8.528
"Dec 16, 2016",17.84
"Dec 19, 2016",6.925
"Dec 22, 2016",5.668
"Dec 25, 2016",11.703
"Dec 28, 2016",15.088
"Dec 31, 2016",13.063
"Jan 3, 2017",9.83
"Jan 6, 2017",16.615
"Jan 9, 2017",11.676
"Jan 12, 2017",6.662
"Jan 15, 2017",6.954
"Jan 18, 2017",6.05
"Jan 21, 2017",7.497
"Jan 24, 2017",12.801
"Jan 27, 2017",14.44
"Jan 30, 2017",11.856
"Feb 2, 2017",6.951
"Feb 5, 2017",5.767
"Feb 8, 2017",5.727
"Feb 11, 2017",2.873
"Feb 14, 2017",4.062
"Feb 17, 2017",10.673
"Feb 20, 2017",9.341
"Feb 23, 2017",10.949
"Feb 26, 2017",17.393
"Mar 1, 2017",9.023
"Mar 4, 2017",12.541
"Mar 7, 2017",8.46
"Mar 10, 2017",9.545
"Mar 13, 2017",6.23
"Mar 16, 2017",3.987
"Mar 19, 2017",3.885
"Mar 22, 2017",3.203
"Mar 25, 2017",4.566
"Mar 28, 2017",3.208
"Mar 31, 2017",2.883
"Apr 3, 2017",2.607
"Apr 6, 2017",2.747
"Apr 9, 2017",2.495
"Apr 12, 2017",6.931
"Apr 15, 2017",9.842
"Apr 18, 2017",8.205
"Apr 21, 2017",6.541
"Apr 24, 2017",6.263
"Apr 27, 2017",5.108
"Apr 30, 2017",6.319
"May 3, 2017",5.878
"May 6, 2017",5.236
"May 9, 2017",4.625
"May 12, 2017",7.339
"May 15, 2017",8.112
"May 18, 2017",6.921
"May 21, 2017",5.72
"May 24, 2017",4.797
"May 27, 2017",4.911
"May 30, 2017",4.053
"Jun 2, 2017",2.302
"Jun 5, 2017",2.015
"Jun 8, 2017",1.881
"Jun 11, 2017",1.881
"Jun 14, 2017",1.881
"Jun 17, 2017",1.881
"Jun 20, 2017",1.881
"Jun 23, 2017",1.881
"Jun 26, 2017",1.881
"Jun 29, 2017",1.881
"Jul 2, 2017",1.881
"Jul 5, 2017",1.881
"Jul 8, 2017",1.881
"Jul 11, 2017",1.881
"Jul 14, 2017",1.881
"Jul 17, 2017",1.881
"Jul 20, 2017",1.881
"Jul 23, 2017",1.881
"Jul 26, 2017",1.881
"Jul 29, 2017",1.881
"Aug 1, 2017",1.881
"Aug 4, 2017",1.881
"Aug 7, 2017",1.881
"Aug 10, 2017",1.881
"Aug 13, 2017",1.881
"Aug 16, 2017",1.881
"Aug 19, 2017",1.881
"Aug 22, 2017",1.881
"Aug 25, 2017",1.881
"Aug 28, 2017",1.881
"Aug 31, 2017",1.881
"Sep 3, 2017",1.881
"Sep 6, 2017",1.881
"Sep 9, 2017",1.881
"Sep 12, 2017",1.881
"Sep 15, 2017",1.881
"Sep 18, 2017",1.881
"Sep 21, 2017",1.881
"Sep 24, 2017",1.881
"Sep 27, 2017",9.723
"Sep 30, 2017",2.086
"Oct 3, 2017",1.881
"Oct 6, 2017",2.296
"Oct 9, 2017",5.439
"Oct 12, 2017",4.757
"Oct 15, 2017",3.524
"Oct 18, 2017",1.941
"Oct 21, 2017",2.044
"Oct 24, 2017",1.881
"Oct 27, 2017",2.72
"Oct 30, 2017",1.881
"Nov 2, 2017",1.881
"Nov 5, 2017",1.881
"Nov 8, 2017",1.881
"Nov 11, 2017",4.266
"Nov 14, 2017",5.71
"Nov 17, 2017",2.911
"Nov 20, 2017",1.881
"Nov 23, 2017",1.881
"Nov 26, 2017",4.739
"Nov 29, 2017",4.846
"Dec 2, 2017",2.383
"Dec 5, 2017",3.741
"Dec 8, 2017",3.926
"Dec 11, 2017",4.088
"Dec 14, 2017",5.13
"Dec 17, 2017",2.498
"Dec 20, 2017",1.945
"Dec 23, 2017",10.97
"Dec 26, 2017",4.771
"Dec 29, 2017",4.835
"Jan 1, 2018",5.904
"Jan 4, 2018",4.617
"Jan 7, 2018",2.297
"Jan 10, 2018",2.74
"Jan 13, 2018",1.881
"Jan 16, 2018",1.881
"Jan 19, 2018",1.881
"Jan 22, 2018",1.881
"Jan 25, 2018",1.881
"Jan 28, 2018",1.881
"Jan 31, 2018",2.246
"Feb 3, 2018",1.881
"Feb 6, 2018",1.881
"Feb 9, 2018",1.881
