system:time_start,ssm
"Sep 17, 2016",11.821
"Sep 20, 2016",11.801
"Sep 23, 2016",11.707
"Sep 26, 2016",6.038
"Sep 29, 2016",3.829
"Oct 2, 2016",4.188
"Oct 5, 2016",4.71
"Oct 8, 2016",5.112
"Oct 11, 2016",5.511
"Oct 14, 2016",6.171
"Oct 17, 2016",7.042
"Oct 20, 2016",7.482
"Oct 23, 2016",9.619
"Oct 26, 2016",8.851
"Oct 29, 2016",8.678
"Nov 1, 2016",8.909
"Nov 4, 2016",9.002
"Nov 7, 2016",8.97
"Nov 10, 2016",9.42
"Nov 13, 2016",16.418
"Nov 16, 2016",11.395
"Nov 19, 2016",11.101
"Nov 22, 2016",10.846
"Nov 25, 2016",13.085
"Nov 28, 2016",11.638
"Dec 1, 2016",11.741
"Dec 4, 2016",11.495
"Dec 7, 2016",11.33
"Dec 10, 2016",23.66
"Dec 13, 2016",16.737
"Dec 16, 2016",20.151
"Dec 19, 2016",16.599
"Dec 22, 2016",15.993
"Dec 25, 2016",22.35
"Dec 28, 2016",18.93
"Dec 31, 2016",21.077
"Jan 3, 2017",17.391
"Jan 6, 2017",16.582
"Jan 9, 2017",15.85
"Jan 12, 2017",15.964
"Jan 15, 2017",25.4
"Jan 18, 2017",24.494
"Jan 21, 2017",23.766
"Jan 24, 2017",21.785
"Jan 27, 2017",19.759
"Jan 30, 2017",18.153
"Feb 2, 2017",17.05
"Feb 5, 2017",15.84
"Feb 8, 2017",15.126
"Feb 11, 2017",14.327
"Feb 14, 2017",20.037
"Feb 17, 2017",22.255
"Feb 20, 2017",20.188
"Feb 23, 2017",20.066
"Feb 26, 2017",21.647
"Mar 1, 2017",17.927
"Mar 4, 2017",16.92
"Mar 7, 2017",16.094
"Mar 10, 2017",15.456
"Mar 13, 2017",14.964
"Mar 16, 2017",14.575
"Mar 19, 2017",16.162
"Mar 22, 2017",14.622
"Mar 25, 2017",14.308
"Mar 28, 2017",13.984
"Mar 31, 2017",13.743
"Apr 3, 2017",13.645
"Apr 6, 2017",14.42
"Apr 9, 2017",13.584
"Apr 12, 2017",13.499
"Apr 15, 2017",14.816
"Apr 18, 2017",13.551
"Apr 21, 2017",13.42
"Apr 24, 2017",15.005
"Apr 27, 2017",13.52
"Apr 30, 2017",13.461
"May 3, 2017",13.403
"May 6, 2017",13.36
"May 9, 2017",13.287
"May 12, 2017",13.233
"May 15, 2017",13.233
"May 18, 2017",13.19
"May 21, 2017",13.166
"May 24, 2017",13.121
"May 27, 2017",13.13
"May 30, 2017",12.889
"Jun 2, 2017",11.519
"Jun 5, 2017",10.855
"Jun 8, 2017",10.216
"Jun 11, 2017",10.005
"Jun 14, 2017",9.671
"Jun 17, 2017",9.659
"Jun 20, 2017",9.466
"Jun 23, 2017",9.253
"Jun 26, 2017",8.994
"Jun 29, 2017",8.785
"Jul 2, 2017",9.114
"Jul 5, 2017",8.761
"Jul 8, 2017",8.573
"Jul 11, 2017",8.356
"Jul 14, 2017",8.279
"Jul 17, 2017",8.234
"Jul 20, 2017",8.142
"Jul 23, 2017",8.081
"Jul 26, 2017",8.059
"Jul 29, 2017",8.02
"Aug 1, 2017",7.976
"Aug 4, 2017",7.954
"Aug 7, 2017",7.91
"Aug 10, 2017",7.796
"Aug 13, 2017",7.723
"Aug 16, 2017",7.662
"Aug 19, 2017",7.733
"Aug 22, 2017",7.621
"Aug 25, 2017",7.586
"Aug 28, 2017",7.555
"Aug 31, 2017",7.526
"Sep 3, 2017",7.488
"Sep 6, 2017",7.408
"Sep 9, 2017",7.371
"Sep 12, 2017",7.278
"Sep 15, 2017",7.257
"Sep 18, 2017",7.266
"Sep 21, 2017",7.201
"Sep 24, 2017",7.45
"Sep 27, 2017",7.199
"Sep 30, 2017",7.138
"Oct 3, 2017",7.078
"Oct 6, 2017",7.01
"Oct 9, 2017",10.522
"Oct 12, 2017",7.561
"Oct 15, 2017",7.327
"Oct 18, 2017",7.197
"Oct 21, 2017",7.06
"Oct 24, 2017",7.021
"Oct 27, 2017",7.171
"Oct 30, 2017",7.056
"Nov 2, 2017",6.936
"Nov 5, 2017",6.913
"Nov 8, 2017",6.906
"Nov 11, 2017",7.387
"Nov 14, 2017",12.949
"Nov 17, 2017",9.866
"Nov 20, 2017",8.261
"Nov 23, 2017",7.841
"Nov 26, 2017",7.926
"Nov 29, 2017",7.554
"Dec 2, 2017",7.19
"Dec 5, 2017",7.153
"Dec 8, 2017",9.722
"Dec 11, 2017",8.069
"Dec 14, 2017",17.091
"Dec 17, 2017",10.869
"Dec 20, 2017",10.065
"Dec 23, 2017",16.375
"Dec 26, 2017",11.559
"Dec 29, 2017",10.574
"Jan 1, 2018",11.473
"Jan 4, 2018",9.994
"Jan 7, 2018",9.574
"Jan 10, 2018",9.432
"Jan 13, 2018",9.007
"Jan 16, 2018",8.528
"Jan 19, 2018",8.276
"Jan 22, 2018",7.94
"Jan 25, 2018",7.786
"Jan 28, 2018",7.698
"Jan 31, 2018",9.168
"Feb 3, 2018",20.49
"Feb 6, 2018",11.003
"Feb 9, 2018",16.572
"Feb 12, 2018",11.774
"Feb 15, 2018",15.99
"Feb 18, 2018",23.315
"Feb 21, 2018",18.51
"Feb 24, 2018",19.706
"Feb 27, 2018",20.669
"Mar 2, 2018",19.027
"Mar 5, 2018",16.782
"Mar 8, 2018",18.543
"Mar 11, 2018",15.617
"Mar 14, 2018",7.498
"Mar 17, 2018",6.707
"Mar 20, 2018",6.696
"Mar 23, 2018",5.908
"Mar 26, 2018",5.652
"Mar 29, 2018",5.563
"Apr 1, 2018",5.718
"Apr 4, 2018",15.863
"Apr 7, 2018",9.37
"Apr 10, 2018",8.49
"Apr 13, 2018",4.867
"Apr 16, 2018",4.509
"Apr 19, 2018",10.981
"Apr 22, 2018",6.409
"Apr 25, 2018",6.386
"Apr 28, 2018",6.623
"May 1, 2018",6.934
"May 4, 2018",6.998
"May 7, 2018",7.072
"May 10, 2018",7.096
"May 13, 2018",8.132
"May 16, 2018",7.516
