system:time_start,ssm
"Sep 17, 2016",3.646
"Sep 20, 2016",5.121
"Sep 23, 2016",4.273
"Sep 26, 2016",5.583
"Sep 29, 2016",4.885
"Oct 2, 2016",13.864
"Oct 5, 2016",5.979
"Oct 8, 2016",4.964
"Oct 11, 2016",3.836
"Oct 14, 2016",2.533
"Oct 17, 2016",1.864
"Oct 20, 2016",1.976
"Oct 23, 2016",3.033
"Oct 26, 2016",2.453
"Oct 29, 2016",1.965
"Nov 1, 2016",1.808
"Nov 4, 2016",2.277
"Nov 7, 2016",2.301
"Nov 10, 2016",2.167
"Nov 13, 2016",1.782
"Nov 16, 2016",2.724
"Nov 19, 2016",3.456
"Nov 22, 2016",4.392
"Nov 25, 2016",5.584
"Nov 28, 2016",4.469
"Dec 1, 2016",3.32
"Dec 4, 2016",2.967
"Dec 7, 2016",2.236
"Dec 10, 2016",1.782
"Dec 13, 2016",1.782
"Dec 16, 2016",1.782
"Dec 19, 2016",1.782
"Dec 22, 2016",1.833
"Dec 25, 2016",1.863
"Dec 28, 2016",1.782
"Dec 31, 2016",1.782
"Jan 3, 2017",1.782
"Jan 6, 2017",1.782
"Jan 9, 2017",2.003
"Jan 12, 2017",2.383
"Jan 15, 2017",2.591
"Jan 18, 2017",2.756
"Jan 21, 2017",2.97
"Jan 24, 2017",3.229
"Jan 27, 2017",3.781
"Jan 30, 2017",3.758
"Feb 2, 2017",2.509
"Feb 5, 2017",2.062
"Feb 8, 2017",1.782
"Feb 11, 2017",1.892
"Feb 14, 2017",2.424
"Feb 17, 2017",1.782
"Feb 20, 2017",1.932
"Feb 23, 2017",1.782
"Feb 26, 2017",1.782
"Mar 1, 2017",1.782
"Mar 4, 2017",1.782
"Mar 7, 2017",1.868
"Mar 10, 2017",2.119
"Mar 13, 2017",3.014
"Mar 16, 2017",2.587
"Mar 19, 2017",1.782
"Mar 22, 2017",1.782
"Mar 25, 2017",1.848
"Mar 28, 2017",4.72
"Mar 31, 2017",3.226
"Apr 3, 2017",3.354
"Apr 6, 2017",3.205
"Apr 9, 2017",3.509
"Apr 12, 2017",2.718
"Apr 15, 2017",2.058
"Apr 18, 2017",7.45
"Apr 21, 2017",5.05
"Apr 24, 2017",3.202
"Apr 27, 2017",2.231
"Apr 30, 2017",9.69
"May 3, 2017",18.025
"May 6, 2017",10.493
"May 9, 2017",8.914
"May 12, 2017",10.051
"May 15, 2017",8.719
"May 18, 2017",7.36
"May 21, 2017",6.073
"May 24, 2017",3.412
"May 27, 2017",5.375
"May 30, 2017",8.727
"Jun 2, 2017",5.469
"Jun 5, 2017",3.847
"Jun 8, 2017",3.716
"Jun 11, 2017",2.695
"Jun 14, 2017",2.664
"Jun 17, 2017",3.535
"Jun 20, 2017",2.385
"Jun 23, 2017",1.94
"Jun 26, 2017",1.783
"Jun 29, 2017",1.9
"Jul 2, 2017",11.905
"Jul 5, 2017",8.9
"Jul 8, 2017",6.201
"Jul 11, 2017",7.096
"Jul 14, 2017",12.816
"Jul 17, 2017",8.565
"Jul 20, 2017",9.867
"Jul 23, 2017",10.135
"Jul 26, 2017",10.381
"Jul 29, 2017",8.837
"Aug 1, 2017",8.871
"Aug 4, 2017",6.602
"Aug 7, 2017",8.343
"Aug 10, 2017",14.885
"Aug 13, 2017",7.088
"Aug 16, 2017",6.225
"Aug 19, 2017",7.519
"Aug 22, 2017",5.072
"Aug 25, 2017",3.789
"Aug 28, 2017",3.112
"Aug 31, 2017",7.902
"Sep 3, 2017",8.357
"Sep 6, 2017",8.352
"Sep 9, 2017",9.114
"Sep 12, 2017",7.94
"Sep 15, 2017",8.496
"Sep 18, 2017",6.447
"Sep 21, 2017",5.176
"Sep 24, 2017",4.936
"Sep 27, 2017",3.623
"Sep 30, 2017",4.077
"Oct 3, 2017",3.724
"Oct 6, 2017",2.214
"Oct 9, 2017",1.883
"Oct 12, 2017",10.876
"Oct 15, 2017",4.857
"Oct 18, 2017",4.343
"Oct 21, 2017",4.709
"Oct 24, 2017",4.331
"Oct 27, 2017",4.576
"Oct 30, 2017",4.625
"Nov 2, 2017",3.908
"Nov 5, 2017",7.616
"Nov 8, 2017",6.076
"Nov 11, 2017",10.249
"Nov 14, 2017",6.079
"Nov 17, 2017",4.945
"Nov 20, 2017",3.996
"Nov 23, 2017",4.31
"Nov 26, 2017",3.716
"Nov 29, 2017",3.292
"Dec 2, 2017",2.378
"Dec 5, 2017",2.719
"Dec 8, 2017",2.425
"Dec 11, 2017",1.899
"Dec 14, 2017",1.782
"Dec 17, 2017",1.782
"Dec 20, 2017",1.782
"Dec 23, 2017",1.782
"Dec 26, 2017",1.782
"Dec 29, 2017",1.782
"Jan 1, 2018",1.782
"Jan 4, 2018",1.782
"Jan 7, 2018",1.782
"Jan 10, 2018",1.782
"Jan 13, 2018",1.782
"Jan 16, 2018",1.782
"Jan 19, 2018",1.782
"Jan 22, 2018",1.782
"Jan 25, 2018",2.127
"Jan 28, 2018",1.862
"Jan 31, 2018",2.656
"Feb 3, 2018",1.789
"Feb 6, 2018",1.989
"Feb 9, 2018",1.888
"Feb 12, 2018",2.058
"Feb 15, 2018",2.333
"Feb 18, 2018",2.073
"Feb 21, 2018",1.782
"Feb 24, 2018",1.782
"Feb 27, 2018",1.782
"Mar 2, 2018",11.056
"Mar 5, 2018",6.214
"Mar 8, 2018",6.06
"Mar 11, 2018",6.351
"Mar 14, 2018",12.175
"Mar 17, 2018",12.135
"Mar 20, 2018",7.445
"Mar 23, 2018",5.818
"Mar 26, 2018",6.827
"Mar 29, 2018",6.034
"Apr 1, 2018",4.752
"Apr 4, 2018",9.003
"Apr 7, 2018",15.311
"Apr 10, 2018",9.882
"Apr 13, 2018",9.963
"Apr 16, 2018",20.328
"Apr 19, 2018",16.058
"Apr 22, 2018",18.348
"Apr 25, 2018",10.219
"Apr 28, 2018",12.432
"May 1, 2018",11.452
"May 4, 2018",8.202
"May 7, 2018",8.288
"May 10, 2018",12.105
"May 13, 2018",8.121
"May 16, 2018",8.185
