system:time_start,ssm
"Sep 17, 2016",8.428
"Sep 20, 2016",8.345
"Sep 23, 2016",8.25
"Sep 26, 2016",8.205
"Sep 29, 2016",7.947
"Oct 2, 2016",8.284
"Oct 5, 2016",8.049
"Oct 8, 2016",7.942
"Oct 11, 2016",7.765
"Oct 14, 2016",7.809
"Oct 17, 2016",7.688
"Oct 20, 2016",7.859
"Oct 23, 2016",9.713
"Oct 26, 2016",8.071
"Oct 29, 2016",7.569
"Nov 1, 2016",11.441
"Nov 4, 2016",8.71
"Nov 7, 2016",8.068
"Nov 10, 2016",9.567
"Nov 13, 2016",11.031
"Nov 16, 2016",8.826
"Nov 19, 2016",13.584
"Nov 22, 2016",8.652
"Nov 25, 2016",14.557
"Nov 28, 2016",9.182
"Dec 1, 2016",15.189
"Dec 4, 2016",10.306
"Dec 7, 2016",9.421
"Dec 10, 2016",12.415
"Dec 13, 2016",10.544
"Dec 16, 2016",18.642
"Dec 19, 2016",11.464
"Dec 22, 2016",16.989
"Dec 25, 2016",17.977
"Dec 28, 2016",18.671
"Dec 31, 2016",14.528
"Jan 3, 2017",15.474
"Jan 6, 2017",16.566
"Jan 9, 2017",16.315
"Jan 12, 2017",13.41
"Jan 15, 2017",14.878
"Jan 18, 2017",12.512
"Jan 21, 2017",14.003
"Jan 24, 2017",16.778
"Jan 27, 2017",19.686
"Jan 30, 2017",18.928
"Feb 2, 2017",14.614
"Feb 5, 2017",13.3
"Feb 8, 2017",12.456
"Feb 11, 2017",11.757
"Feb 14, 2017",17.36
"Feb 17, 2017",15.175
"Feb 20, 2017",13.82
"Feb 23, 2017",13.566
"Feb 26, 2017",13.402
"Mar 1, 2017",12.336
"Mar 4, 2017",15.116
"Mar 7, 2017",13.252
"Mar 10, 2017",12.038
"Mar 13, 2017",11.581
"Mar 16, 2017",11.35
"Mar 19, 2017",11.19
"Mar 22, 2017",10.926
"Mar 25, 2017",10.873
"Mar 28, 2017",10.391
"Mar 31, 2017",10.101
"Apr 3, 2017",10.028
"Apr 6, 2017",10.093
"Apr 9, 2017",10.003
"Apr 12, 2017",10.075
"Apr 15, 2017",10.332
"Apr 18, 2017",9.995
"Apr 21, 2017",10.04
"Apr 24, 2017",10.574
"Apr 27, 2017",10.127
"Apr 30, 2017",10.186
"May 3, 2017",10.057
"May 6, 2017",9.957
"May 9, 2017",9.99
"May 12, 2017",9.993
"May 15, 2017",9.962
"May 18, 2017",9.873
"May 21, 2017",9.838
"May 24, 2017",9.77
"May 27, 2017",9.822
"May 30, 2017",9.594
"Jun 2, 2017",7.944
"Jun 5, 2017",7.615
"Jun 8, 2017",7.187
"Jun 11, 2017",7.021
"Jun 14, 2017",6.78
"Jun 17, 2017",6.939
"Jun 20, 2017",6.854
"Jun 23, 2017",6.813
"Jun 26, 2017",6.845
"Jun 29, 2017",6.891
"Jul 2, 2017",6.915
"Jul 5, 2017",7.088
"Jul 8, 2017",7.117
"Jul 11, 2017",7.122
"Jul 14, 2017",7.045
"Jul 17, 2017",7.088
"Jul 20, 2017",7.081
"Jul 23, 2017",7.184
"Jul 26, 2017",7.207
"Jul 29, 2017",7.266
"Aug 1, 2017",7.344
"Aug 4, 2017",7.312
"Aug 7, 2017",7.374
"Aug 10, 2017",7.294
"Aug 13, 2017",7.227
"Aug 16, 2017",7.124
"Aug 19, 2017",7.197
"Aug 22, 2017",6.924
"Aug 25, 2017",6.967
"Aug 28, 2017",6.958
"Aug 31, 2017",6.865
"Sep 3, 2017",6.946
"Sep 6, 2017",6.692
"Sep 9, 2017",6.566
"Sep 12, 2017",6.38
"Sep 15, 2017",5.885
"Sep 18, 2017",6.502
"Sep 21, 2017",6.2
"Sep 24, 2017",6.265
"Sep 27, 2017",6.299
"Sep 30, 2017",6.367
"Oct 3, 2017",6.273
"Oct 6, 2017",6.23
"Oct 9, 2017",6.596
"Oct 12, 2017",5.651
"Oct 15, 2017",5.35
"Oct 18, 2017",5.355
"Oct 21, 2017",5.754
"Oct 24, 2017",5.314
"Oct 27, 2017",6.225
"Oct 30, 2017",5.433
"Nov 2, 2017",5.376
"Nov 5, 2017",5.359
"Nov 8, 2017",5.586
"Nov 11, 2017",8.611
