system:time_start,LST_Day_1km
"Sep 15, 2016","15,188.367"
"Sep 16, 2016","15,324.791"
"Sep 17, 2016","15,178.68"
"Sep 18, 2016",
"Sep 19, 2016",
"Sep 20, 2016","14,948.775"
"Sep 21, 2016","15,381.329"
"Sep 22, 2016","15,550.469"
"Sep 23, 2016",
"Sep 24, 2016","14,839.275"
"Sep 25, 2016",
"Sep 26, 2016",
"Sep 27, 2016",
"Sep 28, 2016","15,441.402"
"Sep 29, 2016",
"Sep 30, 2016",
"Oct 1, 2016",
"Oct 2, 2016",
"Oct 3, 2016",
"Oct 4, 2016","14,758.705"
"Oct 5, 2016","15,211.3"
"Oct 6, 2016","15,318.279"
"Oct 7, 2016","15,754.158"
"Oct 8, 2016",
"Oct 9, 2016",
"Oct 10, 2016",
"Oct 11, 2016","15,318.767"
"Oct 12, 2016","15,566.341"
"Oct 13, 2016",
"Oct 14, 2016",
"Oct 15, 2016","15,103.033"
"Oct 16, 2016","15,592.288"
"Oct 17, 2016",
"Oct 18, 2016",
"Oct 19, 2016",
"Oct 20, 2016",
"Oct 21, 2016",
"Oct 22, 2016","15,461.93"
"Oct 23, 2016",
"Oct 24, 2016","15,326.635"
"Oct 25, 2016",
"Oct 26, 2016",
"Oct 27, 2016","15,234.508"
"Oct 28, 2016","15,833.476"
"Oct 29, 2016",
"Oct 30, 2016","15,832.771"
"Oct 31, 2016","15,564.355"
"Nov 1, 2016",
"Nov 2, 2016",
"Nov 3, 2016",
"Nov 4, 2016","15,572.139"
"Nov 5, 2016","15,161.995"
"Nov 6, 2016","15,198.643"
"Nov 7, 2016",
"Nov 8, 2016","15,230.55"
"Nov 9, 2016",
"Nov 10, 2016",
"Nov 11, 2016",
"Nov 12, 2016",
"Nov 13, 2016",
"Nov 14, 2016",
"Nov 15, 2016",
"Nov 16, 2016",
"Nov 17, 2016","14,879.779"
"Nov 18, 2016",
"Nov 19, 2016",
"Nov 20, 2016",
"Nov 21, 2016",
"Nov 22, 2016","15,681.515"
"Nov 23, 2016",
"Nov 24, 2016","15,131.739"
"Nov 25, 2016",
"Nov 26, 2016",
"Nov 27, 2016",
"Nov 28, 2016","15,172.72"
"Nov 29, 2016","15,576.989"
"Nov 30, 2016",
"Dec 1, 2016","15,541.224"
"Dec 2, 2016","15,045.452"
"Dec 3, 2016",
"Dec 4, 2016","15,527.117"
"Dec 5, 2016",
"Dec 6, 2016",
"Dec 7, 2016","15,195.339"
"Dec 8, 2016","15,442.055"
"Dec 9, 2016","15,425.065"
"Dec 10, 2016",
"Dec 11, 2016",
"Dec 12, 2016",
"Dec 13, 2016",
"Dec 14, 2016",
"Dec 15, 2016",
"Dec 16, 2016",
"Dec 17, 2016",
"Dec 18, 2016",
"Dec 19, 2016","15,352.836"
"Dec 20, 2016","15,125.535"
"Dec 21, 2016",
"Dec 22, 2016","15,495.899"
"Dec 23, 2016","15,222.25"
"Dec 24, 2016",
"Dec 25, 2016",
"Dec 26, 2016",
"Dec 27, 2016",
"Dec 28, 2016","15,279.511"
"Dec 29, 2016",
"Dec 30, 2016",
"Dec 31, 2016","15,022.294"
"Jan 1, 2017",
"Jan 2, 2017",
"Jan 3, 2017","15,142.947"
"Jan 4, 2017",
"Jan 5, 2017",
"Jan 6, 2017",
"Jan 7, 2017",
"Jan 8, 2017",
"Jan 9, 2017",
"Jan 10, 2017",
"Jan 11, 2017","15,143.79"
"Jan 12, 2017","15,182.469"
"Jan 13, 2017",
"Jan 14, 2017",
"Jan 15, 2017","14,875.577"
"Jan 16, 2017","14,967.292"
"Jan 17, 2017",
"Jan 18, 2017","15,230.049"
"Jan 19, 2017","15,253.056"
"Jan 20, 2017","15,394.659"
"Jan 21, 2017",
"Jan 22, 2017",
"Jan 23, 2017","14,978.411"
"Jan 24, 2017","15,198.873"
"Jan 25, 2017","15,363.321"
"Jan 26, 2017",
"Jan 27, 2017",
"Jan 28, 2017",
"Jan 29, 2017",
"Jan 30, 2017",
"Jan 31, 2017",
"Feb 1, 2017","15,177.316"
"Feb 2, 2017",
"Feb 3, 2017",
"Feb 4, 2017",
"Feb 5, 2017","15,326.969"
"Feb 6, 2017",
"Feb 7, 2017",
"Feb 8, 2017","15,222.172"
"Feb 9, 2017",
"Feb 10, 2017","14,977.86"
"Feb 11, 2017",
"Feb 12, 2017","15,400.993"
"Feb 13, 2017","15,059.065"
"Feb 14, 2017","15,188.373"
"Feb 15, 2017","14,972.099"
"Feb 16, 2017",
"Feb 17, 2017",
"Feb 18, 2017",
"Feb 19, 2017","14,753.683"
"Feb 20, 2017",
"Feb 21, 2017",
"Feb 22, 2017",
"Feb 23, 2017",
"Feb 24, 2017",
"Feb 25, 2017","14,815.937"
"Feb 26, 2017",
"Feb 27, 2017",
"Feb 28, 2017",
"Mar 1, 2017","15,055.199"
"Mar 2, 2017",
"Mar 3, 2017","15,129.438"
"Mar 4, 2017",
"Mar 5, 2017",
"Mar 6, 2017",
"Mar 7, 2017",
"Mar 8, 2017","14,701.466"
"Mar 9, 2017","15,045.713"
"Mar 10, 2017",
"Mar 11, 2017","14,973.162"
"Mar 12, 2017","15,311.068"
"Mar 13, 2017",
"Mar 14, 2017","14,873.297"
"Mar 15, 2017","15,114.074"
"Mar 16, 2017",
"Mar 17, 2017",
"Mar 18, 2017","14,950.372"
"Mar 19, 2017",
"Mar 20, 2017",
"Mar 21, 2017",
"Mar 22, 2017",
"Mar 23, 2017","15,038.971"
"Mar 24, 2017","15,215.671"
"Mar 25, 2017",
"Mar 26, 2017",
"Mar 27, 2017","14,925.409"
"Mar 28, 2017","15,251.674"
"Mar 29, 2017",
"Mar 30, 2017",
"Mar 31, 2017","15,014.796"
"Apr 1, 2017","15,235.368"
"Apr 2, 2017","14,881"
"Apr 3, 2017","15,116.868"
"Apr 4, 2017",
"Apr 5, 2017","15,021.568"
"Apr 6, 2017","15,217.486"
"Apr 7, 2017",
"Apr 8, 2017",
"Apr 9, 2017",
"Apr 10, 2017",
"Apr 11, 2017","15,040.462"
"Apr 12, 2017","14,909.019"
"Apr 13, 2017","15,008.937"
"Apr 14, 2017",
"Apr 15, 2017",
"Apr 16, 2017","14,664.615"
"Apr 17, 2017","14,939.908"
"Apr 18, 2017","14,913.628"
"Apr 19, 2017","14,696.162"
"Apr 20, 2017",
"Apr 21, 2017",
"Apr 22, 2017",
"Apr 23, 2017",
"Apr 24, 2017",
"Apr 25, 2017",
"Apr 26, 2017",
"Apr 27, 2017","14,891.816"
"Apr 28, 2017",
"Apr 29, 2017","14,729.038"
"Apr 30, 2017",
"May 1, 2017",
"May 2, 2017",
"May 3, 2017","14,866.068"
"May 4, 2017","14,886.063"
"May 5, 2017","14,864.436"
"May 6, 2017","15,006.231"
"May 7, 2017",
"May 8, 2017",
"May 9, 2017",
"May 10, 2017","14,903.923"
"May 11, 2017","14,790.14"
"May 12, 2017","14,828.44"
"May 13, 2017",
"May 14, 2017","14,669.894"
"May 15, 2017","14,814.227"
"May 16, 2017","14,732.814"
"May 17, 2017","14,947.775"
"May 18, 2017","14,741.973"
"May 19, 2017","14,874.465"
"May 20, 2017","14,936.773"
"May 21, 2017","14,860.421"
"May 22, 2017","14,930.448"
"May 23, 2017","14,789.759"
"May 24, 2017","15,003.376"
"May 25, 2017",
"May 26, 2017","14,888.773"
"May 27, 2017","14,855.072"
"May 28, 2017",
"May 29, 2017","14,688.072"
"May 30, 2017","14,493"
"May 31, 2017","14,836.426"
"Jun 1, 2017","14,702.283"
"Jun 2, 2017","14,879.093"
"Jun 3, 2017","14,785.954"
"Jun 4, 2017","14,805.891"
"Jun 5, 2017",
"Jun 6, 2017","14,646.392"
"Jun 7, 2017","14,802.568"
"Jun 8, 2017","14,785.385"
"Jun 9, 2017",
"Jun 10, 2017",
"Jun 11, 2017","14,846.595"
"Jun 12, 2017","14,928.776"
"Jun 13, 2017","14,883.87"
"Jun 14, 2017","14,880.175"
"Jun 15, 2017","14,764.792"
"Jun 16, 2017",
"Jun 17, 2017","14,583.931"
"Jun 18, 2017",
"Jun 19, 2017","14,569.847"
"Jun 20, 2017","14,825.639"
"Jun 21, 2017",
"Jun 22, 2017","14,803.402"
"Jun 23, 2017","14,867.378"
"Jun 24, 2017",
"Jun 25, 2017","14,813.036"
"Jun 26, 2017",
"Jun 27, 2017","14,669.812"
"Jun 28, 2017","14,833.588"
"Jun 29, 2017","14,714.647"
"Jun 30, 2017","14,752.217"
"Jul 1, 2017","14,691.86"
"Jul 2, 2017","14,635.125"
"Jul 3, 2017",
"Jul 4, 2017",
"Jul 5, 2017","14,717.219"
"Jul 6, 2017","14,769.524"
"Jul 7, 2017",
"Jul 8, 2017","14,716.368"
"Jul 9, 2017","14,832.443"
"Jul 10, 2017","14,802.954"
"Jul 11, 2017",
"Jul 12, 2017",
"Jul 13, 2017","14,913.958"
"Jul 14, 2017",
"Jul 15, 2017","14,799.816"
"Jul 16, 2017","15,060.098"
"Jul 17, 2017",
"Jul 18, 2017","14,786.698"
"Jul 19, 2017","14,697.696"
"Jul 20, 2017","14,849.236"
"Jul 21, 2017","14,488"
"Jul 22, 2017","14,863.676"
"Jul 23, 2017","14,875.016"
"Jul 24, 2017",
"Jul 25, 2017","14,818.766"
"Jul 26, 2017","14,810.375"
"Jul 27, 2017",
"Jul 28, 2017",
"Jul 29, 2017","14,858.48"
"Jul 30, 2017","14,895.959"
"Jul 31, 2017",
"Aug 1, 2017",
"Aug 2, 2017",
"Aug 3, 2017","14,898.191"
"Aug 4, 2017",
"Aug 5, 2017","14,870.044"
"Aug 6, 2017","14,716.893"
"Aug 7, 2017",
"Aug 8, 2017",
"Aug 9, 2017","14,590"
"Aug 10, 2017","14,924.691"
"Aug 11, 2017","14,836.415"
"Aug 12, 2017","15,064.303"
"Aug 13, 2017",
"Aug 14, 2017","14,830.229"
"Aug 15, 2017","15,043.382"
"Aug 16, 2017","15,138.758"
"Aug 17, 2017","15,133.041"
"Aug 18, 2017","14,757.316"
"Aug 19, 2017","14,851.629"
"Aug 20, 2017","14,636.388"
"Aug 21, 2017","14,948.853"
"Aug 22, 2017","15,153.674"
"Aug 23, 2017","14,924.295"
"Aug 24, 2017","15,130.527"
"Aug 25, 2017","14,778.276"
"Aug 26, 2017",
"Aug 27, 2017","14,765.737"
"Aug 28, 2017",
"Aug 29, 2017",
"Aug 30, 2017","15,146.463"
"Aug 31, 2017",
"Sep 1, 2017",
"Sep 2, 2017","14,950.531"
"Sep 3, 2017","14,851.204"
"Sep 4, 2017","14,891.712"
"Sep 5, 2017","14,669.006"
"Sep 6, 2017",
"Sep 7, 2017","15,147.086"
"Sep 8, 2017","15,282.881"
"Sep 9, 2017","15,200.441"
"Sep 10, 2017","15,101.67"
"Sep 11, 2017","15,378.24"
"Sep 12, 2017","15,154.727"
"Sep 13, 2017","15,511.514"
"Sep 14, 2017",
"Sep 15, 2017",
"Sep 16, 2017","15,322.158"
"Sep 17, 2017","14,969.154"
"Sep 18, 2017",
"Sep 19, 2017",
"Sep 20, 2017","15,027.916"
"Sep 21, 2017",
"Sep 22, 2017","15,381.997"
"Sep 23, 2017","15,078.758"
"Sep 24, 2017",
"Sep 25, 2017","15,146.901"
"Sep 26, 2017","15,222.099"
"Sep 27, 2017",
"Sep 28, 2017",
"Sep 29, 2017",
"Sep 30, 2017",
"Oct 1, 2017",
"Oct 2, 2017",
"Oct 3, 2017",
"Oct 4, 2017","15,295.621"
"Oct 5, 2017","15,220.286"
"Oct 6, 2017",
"Oct 7, 2017",
"Oct 8, 2017","15,209.305"
"Oct 9, 2017","14,953.903"
"Oct 10, 2017","15,364.979"
"Oct 11, 2017","15,042.575"
"Oct 12, 2017","15,304.203"
"Oct 13, 2017",
"Oct 14, 2017",
"Oct 15, 2017","15,325.351"
"Oct 16, 2017",
"Oct 17, 2017","15,628.069"
"Oct 18, 2017",
"Oct 19, 2017","15,315.941"
"Oct 20, 2017",
"Oct 21, 2017",
"Oct 22, 2017",
"Oct 23, 2017","15,143.185"
"Oct 24, 2017",
"Oct 25, 2017","15,412.606"
"Oct 26, 2017","15,611.96"
"Oct 27, 2017",
"Oct 28, 2017",
"Oct 29, 2017",
"Oct 30, 2017","15,119.843"
"Oct 31, 2017","15,333.435"
"Nov 1, 2017",
"Nov 2, 2017","15,275.147"
"Nov 3, 2017","14,951.155"
"Nov 4, 2017",
"Nov 5, 2017",
"Nov 6, 2017","15,374.725"
"Nov 7, 2017","15,155.087"
"Nov 8, 2017",
"Nov 9, 2017",
"Nov 10, 2017",
"Nov 11, 2017",
"Nov 12, 2017",
"Nov 13, 2017","15,028.224"
"Nov 14, 2017","15,441.422"
"Nov 15, 2017",
"Nov 16, 2017","15,298.829"
"Nov 17, 2017",
"Nov 18, 2017","15,397.951"
"Nov 19, 2017","15,366.925"
"Nov 20, 2017","15,485.803"
"Nov 21, 2017","15,336.961"
"Nov 22, 2017",
"Nov 23, 2017",
"Nov 24, 2017",
"Nov 25, 2017",
"Nov 26, 2017",
"Nov 27, 2017",
"Nov 28, 2017",
"Nov 29, 2017","15,304.463"
"Nov 30, 2017",
"Dec 1, 2017","15,266.671"
"Dec 2, 2017","15,470.694"
"Dec 3, 2017",
"Dec 4, 2017",
"Dec 5, 2017",
"Dec 6, 2017",
"Dec 7, 2017",
"Dec 8, 2017","14,743"
"Dec 9, 2017","15,280.615"
"Dec 10, 2017",
"Dec 11, 2017",
"Dec 12, 2017","15,182.388"
"Dec 13, 2017",
"Dec 14, 2017",
"Dec 15, 2017",
"Dec 16, 2017",
"Dec 17, 2017","15,310.563"
"Dec 18, 2017","15,419.979"
"Dec 19, 2017",
"Dec 20, 2017",
"Dec 21, 2017",
"Dec 22, 2017","15,268.77"
"Dec 23, 2017",
"Dec 24, 2017",
"Dec 25, 2017","15,173.134"
"Dec 26, 2017",
"Dec 27, 2017",
"Dec 28, 2017","15,202.077"
"Dec 29, 2017",
"Dec 30, 2017",
"Dec 31, 2017",
"Jan 1, 2018","15,327.156"
"Jan 2, 2018",
"Jan 3, 2018","15,003.072"
"Jan 4, 2018",
"Jan 5, 2018","15,399.292"
"Jan 6, 2018","15,386.915"
"Jan 7, 2018","15,309"
"Jan 8, 2018","15,425.104"
"Jan 9, 2018",
"Jan 10, 2018",
"Jan 11, 2018",
"Jan 12, 2018",
"Jan 13, 2018","14,874.721"
"Jan 14, 2018","15,116.101"
"Jan 15, 2018","15,226.418"
"Jan 16, 2018",
"Jan 17, 2018","15,186.088"
"Jan 18, 2018",
"Jan 19, 2018","15,358.213"
"Jan 20, 2018",
"Jan 21, 2018",
"Jan 22, 2018",
"Jan 23, 2018",
"Jan 24, 2018",
"Jan 25, 2018",
"Jan 26, 2018",
"Jan 27, 2018",
"Jan 28, 2018","15,179.142"
"Jan 29, 2018",
"Jan 30, 2018",
"Jan 31, 2018",
"Feb 1, 2018",
"Feb 2, 2018",
"Feb 3, 2018",
"Feb 4, 2018",
"Feb 5, 2018",
"Feb 6, 2018","15,017.772"
"Feb 7, 2018",
"Feb 8, 2018",
"Feb 9, 2018",
"Feb 10, 2018",
"Feb 11, 2018","14,859.924"
"Feb 12, 2018",
"Feb 13, 2018",
"Feb 14, 2018",
"Feb 15, 2018",
"Feb 16, 2018",
"Feb 17, 2018",
"Feb 18, 2018",
"Feb 19, 2018",
"Feb 20, 2018",
"Feb 21, 2018",
"Feb 22, 2018",
"Feb 23, 2018",
"Feb 24, 2018",
"Feb 25, 2018",
"Feb 26, 2018",
"Feb 27, 2018",
"Feb 28, 2018",
"Mar 1, 2018","15,106.23"
"Mar 2, 2018","14,735"
"Mar 3, 2018",
"Mar 4, 2018","15,075.431"
"Mar 5, 2018","14,971.153"
"Mar 6, 2018","15,170.791"
"Mar 7, 2018","15,132.779"
"Mar 8, 2018","15,335.605"
"Mar 9, 2018",
"Mar 10, 2018",
"Mar 11, 2018","15,131.763"
"Mar 12, 2018","15,229.378"
"Mar 13, 2018",
"Mar 14, 2018","15,010.866"
"Mar 15, 2018","15,336.522"
"Mar 16, 2018","15,065.87"
"Mar 17, 2018",
"Mar 18, 2018","14,810.049"
"Mar 19, 2018","15,172.463"
"Mar 20, 2018",
"Mar 21, 2018","15,076.889"
"Mar 22, 2018",
"Mar 23, 2018",
"Mar 24, 2018","14,907.889"
"Mar 25, 2018",
"Mar 26, 2018",
"Mar 27, 2018",
"Mar 28, 2018",
"Mar 29, 2018","15,166.83"
"Mar 30, 2018","15,131.393"
"Mar 31, 2018","14,715.972"
"Apr 1, 2018",
"Apr 2, 2018",
"Apr 3, 2018",
"Apr 4, 2018",
"Apr 5, 2018","15,007.176"
"Apr 6, 2018",
"Apr 7, 2018","15,261.636"
"Apr 8, 2018",
"Apr 9, 2018",
"Apr 10, 2018",
"Apr 11, 2018",
"Apr 12, 2018",
"Apr 13, 2018","14,679.836"
"Apr 14, 2018","15,062.789"
"Apr 15, 2018",
"Apr 16, 2018",
"Apr 17, 2018",
"Apr 18, 2018","14,992.543"
"Apr 19, 2018","15,133.398"
"Apr 20, 2018",
"Apr 21, 2018",
"Apr 22, 2018","14,919.465"
"Apr 23, 2018","15,052.241"
