system:time_start,LST_Day_1km
"Sep 15, 2016","15,705.274"
"Sep 16, 2016","15,729.666"
"Sep 17, 2016","15,757.057"
"Sep 18, 2016",
"Sep 19, 2016",
"Sep 20, 2016",
"Sep 21, 2016","15,471.134"
"Sep 22, 2016","15,733.392"
"Sep 23, 2016","15,723.784"
"Sep 24, 2016","15,894.059"
"Sep 25, 2016","15,436.923"
"Sep 26, 2016","15,542.564"
"Sep 27, 2016",
"Sep 28, 2016","15,961.193"
"Sep 29, 2016",
"Sep 30, 2016","15,924.634"
"Oct 1, 2016","15,542.574"
"Oct 2, 2016",
"Oct 3, 2016",
"Oct 4, 2016",
"Oct 5, 2016","15,397.77"
"Oct 6, 2016","15,348.679"
"Oct 7, 2016","15,910.032"
"Oct 8, 2016","15,543.085"
"Oct 9, 2016","15,571.776"
"Oct 10, 2016",
"Oct 11, 2016","15,494.677"
"Oct 12, 2016","15,991.391"
"Oct 13, 2016",
"Oct 14, 2016",
"Oct 15, 2016",
"Oct 16, 2016","15,899.902"
"Oct 17, 2016","15,953.543"
"Oct 18, 2016",
"Oct 19, 2016",
"Oct 20, 2016","15,625.981"
"Oct 21, 2016","15,951.942"
"Oct 22, 2016","15,326.376"
"Oct 23, 2016",
"Oct 24, 2016","15,600.075"
"Oct 25, 2016",
"Oct 26, 2016","15,550.861"
"Oct 27, 2016","15,746.181"
"Oct 28, 2016","15,885.237"
"Oct 29, 2016","15,954.592"
"Oct 30, 2016","16,252.675"
"Oct 31, 2016",
"Nov 1, 2016","16,015.907"
"Nov 2, 2016",
"Nov 3, 2016",
"Nov 4, 2016",
"Nov 5, 2016","15,633.091"
"Nov 6, 2016","16,165.245"
"Nov 7, 2016","15,594.863"
"Nov 8, 2016","15,856.97"
"Nov 9, 2016","15,988.462"
"Nov 10, 2016","15,776.48"
"Nov 11, 2016",
"Nov 12, 2016",
"Nov 13, 2016",
"Nov 14, 2016",
"Nov 15, 2016",
"Nov 16, 2016",
"Nov 17, 2016","15,562.948"
"Nov 18, 2016","15,690.891"
"Nov 19, 2016",
"Nov 20, 2016",
"Nov 21, 2016",
"Nov 22, 2016","15,891.474"
"Nov 23, 2016",
"Nov 24, 2016","15,967.554"
"Nov 25, 2016","16,245.425"
"Nov 26, 2016",
"Nov 27, 2016",
"Nov 28, 2016",
"Nov 29, 2016",
"Nov 30, 2016",
"Dec 1, 2016","16,059.293"
"Dec 2, 2016",
"Dec 3, 2016",
"Dec 4, 2016",
"Dec 5, 2016",
"Dec 6, 2016",
"Dec 7, 2016","15,851.639"
"Dec 8, 2016","16,317.087"
"Dec 9, 2016","15,752.396"
"Dec 10, 2016","16,301.922"
"Dec 11, 2016",
"Dec 12, 2016",
"Dec 13, 2016",
"Dec 14, 2016",
"Dec 15, 2016",
"Dec 16, 2016",
