system:time_start,LST_Day_1km
"Sep 15, 2016","15,617.09"
"Sep 16, 2016","15,600.18"
"Sep 17, 2016","15,693.104"
"Sep 18, 2016",
"Sep 19, 2016","15,904.184"
"Sep 20, 2016",
"Sep 21, 2016","15,528.177"
"Sep 22, 2016","15,605.329"
"Sep 23, 2016","15,573.108"
"Sep 24, 2016","15,638.286"
"Sep 25, 2016",
"Sep 26, 2016","15,359.019"
"Sep 27, 2016",
"Sep 28, 2016","15,394.323"
"Sep 29, 2016",
"Sep 30, 2016","15,606.823"
"Oct 1, 2016","15,558.397"
"Oct 2, 2016","15,482.997"
"Oct 3, 2016","15,656.642"
"Oct 4, 2016",
"Oct 5, 2016","15,443.217"
"Oct 6, 2016",
"Oct 7, 2016","15,614.43"
"Oct 8, 2016","15,689.22"
"Oct 9, 2016","15,682.661"
"Oct 10, 2016","15,168"
"Oct 11, 2016",
"Oct 12, 2016","15,910.337"
"Oct 13, 2016",
"Oct 14, 2016","15,818.532"
"Oct 15, 2016","15,564.239"
"Oct 16, 2016","15,682.175"
"Oct 17, 2016","15,708.837"
"Oct 18, 2016","15,641.082"
"Oct 19, 2016","15,919.286"
"Oct 20, 2016",
"Oct 21, 2016","15,954.027"
"Oct 22, 2016",
"Oct 23, 2016","15,842.18"
"Oct 24, 2016","15,573.687"
"Oct 25, 2016","15,337.787"
"Oct 26, 2016","15,607.334"
"Oct 27, 2016","15,653.782"
"Oct 28, 2016","15,495.722"
"Oct 29, 2016",
"Oct 30, 2016","15,793.041"
"Oct 31, 2016","15,729.063"
"Nov 1, 2016","15,573.14"
"Nov 2, 2016","15,512.721"
"Nov 3, 2016","15,240"
"Nov 4, 2016","15,765.489"
"Nov 5, 2016",
"Nov 6, 2016","15,870.96"
"Nov 7, 2016",
"Nov 8, 2016",
"Nov 9, 2016","15,376"
"Nov 10, 2016","15,278.28"
"Nov 11, 2016","15,740.662"
"Nov 12, 2016","15,569.606"
"Nov 13, 2016","15,855.608"
"Nov 14, 2016",
"Nov 15, 2016",
"Nov 16, 2016",
"Nov 17, 2016","15,302.149"
"Nov 18, 2016",
"Nov 19, 2016",
"Nov 20, 2016","15,585.939"
"Nov 21, 2016",
"Nov 22, 2016",
"Nov 23, 2016",
"Nov 24, 2016","15,753.507"
"Nov 25, 2016","15,527.767"
"Nov 26, 2016","15,341.262"
"Nov 27, 2016","15,683.575"
"Nov 28, 2016",
"Nov 29, 2016",
"Nov 30, 2016",
"Dec 1, 2016","15,727.079"
"Dec 2, 2016","15,344"
"Dec 3, 2016",
"Dec 4, 2016",
"Dec 5, 2016","15,394.268"
"Dec 6, 2016","15,224.079"
"Dec 7, 2016",
"Dec 8, 2016","15,861.651"
"Dec 9, 2016",
"Dec 10, 2016","15,661.038"
"Dec 11, 2016","15,764.046"
"Dec 12, 2016","15,440.105"
"Dec 13, 2016","15,470.404"
"Dec 14, 2016","15,437.249"
"Dec 15, 2016","15,957.035"
"Dec 16, 2016",
"Dec 17, 2016","15,949.581"
"Dec 18, 2016","15,684.35"
"Dec 19, 2016","15,773.275"
"Dec 20, 2016","15,808.243"
"Dec 21, 2016","15,649.005"
"Dec 22, 2016",
"Dec 23, 2016",
"Dec 24, 2016","15,305.569"
"Dec 25, 2016",
"Dec 26, 2016","15,316.779"
"Dec 27, 2016",
