system:time_start,ssm
"Sep 17, 2016",7.183
"Sep 20, 2016",7.161
"Sep 23, 2016",6.976
"Sep 26, 2016",6.85
"Sep 29, 2016",6.743
"Oct 2, 2016",6.827
"Oct 5, 2016",6.391
"Oct 8, 2016",5.955
"Oct 11, 2016",5.77
"Oct 14, 2016",5.926
"Oct 17, 2016",5.676
"Oct 20, 2016",5.814
"Oct 23, 2016",5.86
"Oct 26, 2016",5.323
"Oct 29, 2016",5.021
"Nov 1, 2016",5.095
"Nov 4, 2016",5.201
"Nov 7, 2016",5.101
"Nov 10, 2016",8.87
"Nov 13, 2016",7.73
"Nov 16, 2016",6.45
"Nov 19, 2016",7.338
"Nov 22, 2016",5.798
"Nov 25, 2016",5.735
"Nov 28, 2016",6.382
"Dec 1, 2016",5.646
"Dec 4, 2016",6.253
"Dec 7, 2016",6.153
"Dec 10, 2016",14.273
"Dec 13, 2016",21.092
"Dec 16, 2016",19.323
"Dec 19, 2016",20.762
"Dec 22, 2016",21.266
"Dec 25, 2016",21.425
"Dec 28, 2016",18.706
"Dec 31, 2016",19.968
"Jan 3, 2017",22.365
"Jan 6, 2017",22.882
"Jan 9, 2017",25.2
"Jan 12, 2017",23.07
"Jan 15, 2017",25.258
"Jan 18, 2017",24.588
"Jan 21, 2017",24.296
"Jan 24, 2017",19.828
"Jan 27, 2017",18.656
"Jan 30, 2017",21.893
"Feb 2, 2017",16.378
"Feb 5, 2017",17.347
"Feb 8, 2017",14.439
"Feb 11, 2017",13.535
"Feb 14, 2017",15.966
"Feb 17, 2017",17.739
"Feb 20, 2017",13.025
"Feb 23, 2017",13.244
"Feb 26, 2017",20.206
"Mar 1, 2017",16.731
"Mar 4, 2017",17.113
"Mar 7, 2017",14.812
"Mar 10, 2017",14.043
"Mar 13, 2017",13.469
"Mar 16, 2017",13.495
"Mar 19, 2017",21.127
"Mar 22, 2017",18.789
"Mar 25, 2017",18.378
"Mar 28, 2017",14.715
"Mar 31, 2017",13.744
"Apr 3, 2017",13.447
"Apr 6, 2017",13.075
"Apr 9, 2017",12.599
"Apr 12, 2017",12.05
"Apr 15, 2017",12.122
"Apr 18, 2017",11.741
"Apr 21, 2017",11.55
"Apr 24, 2017",11.587
"Apr 27, 2017",11.24
"Apr 30, 2017",11.002
"May 3, 2017",10.751
"May 6, 2017",10.326
"May 9, 2017",10.212
"May 12, 2017",10.322
"May 15, 2017",10.01
"May 18, 2017",9.833
"May 21, 2017",9.707
"May 24, 2017",9.424
"May 27, 2017",9.33
"May 30, 2017",9.358
"Jun 2, 2017",8.406
"Jun 5, 2017",8.049
"Jun 8, 2017",7.681
"Jun 11, 2017",7.413
"Jun 14, 2017",7.039
"Jun 17, 2017",6.968
"Jun 20, 2017",6.791
"Jun 23, 2017",6.59
"Jun 26, 2017",6.641
"Jun 29, 2017",6.569
"Jul 2, 2017",6.808
"Jul 5, 2017",6.857
"Jul 8, 2017",6.704
"Jul 11, 2017",6.778
"Jul 14, 2017",6.842
"Jul 17, 2017",7.355
"Jul 20, 2017",7.189
"Jul 23, 2017",7.073
"Jul 26, 2017",7.108
"Jul 29, 2017",7.174
"Aug 1, 2017",7.812
"Aug 4, 2017",7.201
"Aug 7, 2017",7.13
"Aug 10, 2017",7.015
"Aug 13, 2017",6.779
"Aug 16, 2017",6.581
"Aug 19, 2017",6.77
"Aug 22, 2017",6.565
"Aug 25, 2017",6.469
"Aug 28, 2017",6.502
"Aug 31, 2017",6.321
"Sep 3, 2017",6.428
"Sep 6, 2017",6.048
"Sep 9, 2017",6.308
"Sep 12, 2017",6.324
"Sep 15, 2017",6.048
"Sep 18, 2017",5.899
"Sep 21, 2017",5.765
"Sep 24, 2017",5.564
"Sep 27, 2017",5.753
"Sep 30, 2017",5.543
"Oct 3, 2017",5.401
"Oct 6, 2017",5.306
"Oct 9, 2017",5.673
"Oct 12, 2017",5.415
"Oct 15, 2017",4.789
"Oct 18, 2017",4.821
"Oct 21, 2017",4.995
"Oct 24, 2017",4.767
"Oct 27, 2017",5.121
"Oct 30, 2017",5.04
"Nov 2, 2017",4.835
"Nov 5, 2017",4.955
"Nov 8, 2017",6.963
"Nov 11, 2017",15.116
"Nov 14, 2017",17.101
"Nov 17, 2017",17.122
"Nov 20, 2017",10.031
"Nov 23, 2017",9.305
"Nov 26, 2017",12.254
"Nov 29, 2017",9.732
"Dec 2, 2017",8.245
"Dec 5, 2017",7.649
"Dec 8, 2017",11.78
"Dec 11, 2017",8.486
"Dec 14, 2017",16.779
"Dec 17, 2017",8.978
"Dec 20, 2017",9.821
"Dec 23, 2017",25.024
"Dec 26, 2017",19.937
"Dec 29, 2017",14.598
"Jan 1, 2018",14.13
"Jan 4, 2018",13.131
"Jan 7, 2018",11.153
"Jan 10, 2018",10.902
"Jan 13, 2018",10.077
"Jan 16, 2018",9.664
"Jan 19, 2018",8.889
"Jan 22, 2018",8.455
"Jan 25, 2018",7.894
"Jan 28, 2018",7.436
"Jan 31, 2018",13.332
"Feb 3, 2018",21.732
"Feb 6, 2018",20.175
"Feb 9, 2018",22.634
"Feb 12, 2018",24.818
"Feb 15, 2018",22.637
"Feb 18, 2018",25.024
"Feb 21, 2018",22.049
"Feb 24, 2018",20.032
"Feb 27, 2018",22.465
"Mar 2, 2018",19.087
"Mar 5, 2018",16.36
"Mar 8, 2018",19.563
"Mar 11, 2018",16.458
"Mar 14, 2018",9.761
"Mar 17, 2018",4.444
"Mar 20, 2018",4.313
"Mar 23, 2018",3.89
"Mar 26, 2018",13.025
"Mar 29, 2018",7.068
"Apr 1, 2018",6.614
"Apr 4, 2018",6.579
"Apr 7, 2018",8.135
"Apr 10, 2018",10.543
"Apr 13, 2018",6.279
"Apr 16, 2018",5.213
"Apr 19, 2018",4.702
"Apr 22, 2018",4.766
"Apr 25, 2018",4.758
"Apr 28, 2018",4.658
"May 1, 2018",4.738
"May 4, 2018",5.212
"May 7, 2018",4.903
"May 10, 2018",4.916
"May 13, 2018",4.865
"May 16, 2018",5.311
"May 19, 2018",7.827
"May 22, 2018",6.394
"May 25, 2018",5.787
"May 28, 2018",5.59
"May 31, 2018",5.478
"Jun 3, 2018",5.575
"Jun 6, 2018",5.721
"Jun 9, 2018",5.623
"Jun 12, 2018",5.794
"Jun 15, 2018",5.604
"Jun 18, 2018",5.604
"Jun 21, 2018",5.862
"Jun 24, 2018",5.916
"Jun 27, 2018",5.895
"Jun 30, 2018",5.857
"Jul 3, 2018",5.999
"Jul 6, 2018",6.314
"Jul 9, 2018",6.868
"Jul 12, 2018",6.35
"Jul 15, 2018",6.619
"Jul 18, 2018",6.56
"Jul 21, 2018",6.533
"Jul 24, 2018",6.482
"Jul 27, 2018",6.385
"Jul 30, 2018",6.31
"Aug 2, 2018",6.296
"Aug 5, 2018",6.046
"Aug 8, 2018",5.98
"Aug 11, 2018",5.978
"Aug 14, 2018",5.956
"Aug 17, 2018",5.886
"Aug 20, 2018",5.817
"Aug 23, 2018",5.72
"Aug 26, 2018",5.737
"Aug 29, 2018",5.81
"Sep 1, 2018",5.626
"Sep 4, 2018",5.734
"Sep 7, 2018",5.716
"Sep 10, 2018",5.424
"Sep 13, 2018",5.493
"Sep 16, 2018",5.427
"Sep 19, 2018",5.096
"Sep 22, 2018",5.465
"Sep 25, 2018",5.106
"Sep 28, 2018",4.972
"Oct 1, 2018",5.079
"Oct 4, 2018",4.956
"Oct 7, 2018",4.945
"Oct 10, 2018",4.973
"Oct 13, 2018",4.922
"Oct 16, 2018",6.152
"Oct 19, 2018",5.155
"Oct 22, 2018",5.198
"Oct 25, 2018",4.87
"Oct 28, 2018",4.886
"Oct 31, 2018",5.056
"Nov 3, 2018",4.971
"Nov 6, 2018",4.639
"Nov 9, 2018",5.052
"Nov 12, 2018",4.845
"Nov 15, 2018",4.704
"Nov 18, 2018",4.531
"Nov 21, 2018",5.922
"Nov 24, 2018",7.937
"Nov 27, 2018",19.831
"Nov 30, 2018",9.523
"Dec 3, 2018",9.57
"Dec 6, 2018",8.45
"Dec 9, 2018",20.149
"Dec 12, 2018",10.597
"Dec 15, 2018",9.546
"Dec 18, 2018",9.25
"Dec 21, 2018",11.477
"Dec 24, 2018",8.088
"Dec 27, 2018",13.184
"Dec 30, 2018",9.963
"Jan 2, 2019",14.425
"Jan 5, 2019",20.645
"Jan 8, 2019",16.116
"Jan 11, 2019",18.643
"Jan 14, 2019",21.281
"Jan 17, 2019",23.472
"Jan 20, 2019",21.338
"Jan 23, 2019",20.654
"Jan 26, 2019",17.161
"Jan 29, 2019",15.067
"Feb 1, 2019",13.336
"Feb 4, 2019",13.282
"Feb 7, 2019",12.072
"Feb 10, 2019",10.466
"Feb 13, 2019",18.927
"Feb 16, 2019",21.29
"Feb 19, 2019",17.3
"Feb 22, 2019",14.509
"Feb 25, 2019",12.698
"Feb 28, 2019",11.524
"Mar 3, 2019",11.316
"Mar 6, 2019",14.892
"Mar 9, 2019",11.005
"Mar 12, 2019",10.529
"Mar 15, 2019",23.093
"Mar 18, 2019",20.143
"Mar 21, 2019",16.574
"Mar 24, 2019",14.611
"Mar 27, 2019",14.76
"Mar 30, 2019",13.036
"Apr 2, 2019",12.469
"Apr 5, 2019",11.844
"Apr 8, 2019",11.367
"Apr 11, 2019",11.273
"Apr 14, 2019",11.549
"Apr 17, 2019",14.431
"Apr 20, 2019",11.197
"Apr 23, 2019",10.76
"Apr 26, 2019",10.142
"Apr 29, 2019",10.02
"May 2, 2019",9.566
"May 5, 2019",9.179
"May 8, 2019",9.071
"May 11, 2019",9.134
"May 14, 2019",9.002
"May 17, 2019",8.777
