system:time_start,LST_Day_1km
"Sep 15, 2016","15,040.628"
"Sep 16, 2016","15,325.059"
"Sep 17, 2016",
"Sep 18, 2016",
"Sep 19, 2016",
"Sep 20, 2016","14,956.836"
"Sep 21, 2016","15,404.394"
"Sep 22, 2016","15,547.02"
"Sep 23, 2016",
"Sep 24, 2016",
"Sep 25, 2016",
"Sep 26, 2016",
"Sep 27, 2016","15,047.759"
"Sep 28, 2016",
"Sep 29, 2016",
"Sep 30, 2016","14,926.855"
"Oct 1, 2016",
"Oct 2, 2016",
"Oct 3, 2016","14,988.299"
"Oct 4, 2016",
"Oct 5, 2016","15,119.215"
"Oct 6, 2016","15,171.93"
"Oct 7, 2016","15,442.731"
"Oct 8, 2016","15,140.204"
"Oct 9, 2016",
"Oct 10, 2016","15,147.925"
"Oct 11, 2016","15,299.944"
"Oct 12, 2016","15,062.088"
"Oct 13, 2016",
"Oct 14, 2016",
"Oct 15, 2016","15,047.37"
"Oct 16, 2016","15,478.056"
"Oct 17, 2016",
"Oct 18, 2016",
"Oct 19, 2016",
"Oct 20, 2016",
"Oct 21, 2016",
"Oct 22, 2016","15,193.623"
"Oct 23, 2016",
"Oct 24, 2016",
"Oct 25, 2016","15,367.093"
"Oct 26, 2016",
"Oct 27, 2016","15,139.466"
"Oct 28, 2016","15,669.753"
"Oct 29, 2016","15,264.206"
"Oct 30, 2016","15,267.231"
"Oct 31, 2016","15,202.319"
"Nov 1, 2016",
"Nov 2, 2016",
"Nov 3, 2016",
"Nov 4, 2016","15,470.288"
"Nov 5, 2016",
"Nov 6, 2016","15,584.408"
"Nov 7, 2016",
"Nov 8, 2016","15,208.02"
"Nov 9, 2016",
"Nov 10, 2016",
"Nov 11, 2016",
"Nov 12, 2016",
"Nov 13, 2016",
"Nov 14, 2016",
"Nov 15, 2016",
"Nov 16, 2016",
"Nov 17, 2016",
"Nov 18, 2016",
"Nov 19, 2016",
"Nov 20, 2016",
"Nov 21, 2016",
"Nov 22, 2016","15,512.215"
"Nov 23, 2016",
"Nov 24, 2016",
"Nov 25, 2016",
"Nov 26, 2016",
"Nov 27, 2016",
"Nov 28, 2016","15,056.935"
"Nov 29, 2016","15,317.6"
"Nov 30, 2016",
"Dec 1, 2016","15,031.062"
"Dec 2, 2016","14,860.991"
"Dec 3, 2016","14,836.572"
"Dec 4, 2016","15,262.864"
"Dec 5, 2016",
"Dec 6, 2016",
"Dec 7, 2016","15,018.066"
"Dec 8, 2016","15,437.71"
"Dec 9, 2016","15,365.519"
"Dec 10, 2016",
"Dec 11, 2016",
"Dec 12, 2016",
"Dec 13, 2016","15,154.56"
"Dec 14, 2016",
"Dec 15, 2016",
"Dec 16, 2016",
"Dec 17, 2016",
"Dec 18, 2016","14,702.586"
"Dec 19, 2016","15,089.542"
"Dec 20, 2016",
"Dec 21, 2016","15,186.131"
"Dec 22, 2016","15,474.08"
"Dec 23, 2016","15,183.704"
