system:time_start,LST_Day_1km
"Sep 15, 2016","15,492.885"
"Sep 16, 2016","15,541.461"
"Sep 17, 2016","15,608.289"
"Sep 18, 2016","14,945"
"Sep 19, 2016",
"Sep 20, 2016",
"Sep 21, 2016","15,596.96"
"Sep 22, 2016","15,584.732"
"Sep 23, 2016","15,621.643"
"Sep 24, 2016","15,699.599"
"Sep 25, 2016","15,370.315"
"Sep 26, 2016","15,548.231"
"Sep 27, 2016","15,293.593"
"Sep 28, 2016","15,678.369"
"Sep 29, 2016","15,326.525"
"Sep 30, 2016","15,656.767"
"Oct 1, 2016","15,646.691"
"Oct 2, 2016","15,459.734"
"Oct 3, 2016",
"Oct 4, 2016",
"Oct 5, 2016","15,097.484"
"Oct 6, 2016",
"Oct 7, 2016","15,921.913"
"Oct 8, 2016","15,541.418"
"Oct 9, 2016","15,565.008"
"Oct 10, 2016",
"Oct 11, 2016","15,419.497"
"Oct 12, 2016","15,920.019"
"Oct 13, 2016",
"Oct 14, 2016",
"Oct 15, 2016",
"Oct 16, 2016","15,825.492"
"Oct 17, 2016","15,873.096"
"Oct 18, 2016",
"Oct 19, 2016",
"Oct 20, 2016","15,427.899"
"Oct 21, 2016","15,813.994"
"Oct 22, 2016",
"Oct 23, 2016",
"Oct 24, 2016","15,450"
"Oct 25, 2016",
"Oct 26, 2016","15,806.091"
"Oct 27, 2016","15,591.376"
"Oct 28, 2016","15,974.097"
"Oct 29, 2016","15,627.568"
"Oct 30, 2016","16,055.827"
"Oct 31, 2016","15,874.684"
"Nov 1, 2016","15,968.021"
"Nov 2, 2016","15,640.952"
"Nov 3, 2016",
"Nov 4, 2016",
"Nov 5, 2016","15,400.976"
"Nov 6, 2016","15,937.473"
"Nov 7, 2016",
"Nov 8, 2016","15,690.951"
"Nov 9, 2016","15,885.458"
"Nov 10, 2016","15,973.88"
"Nov 11, 2016",
"Nov 12, 2016",
"Nov 13, 2016","15,871.035"
"Nov 14, 2016",
"Nov 15, 2016",
"Nov 16, 2016",
"Nov 17, 2016",
"Nov 18, 2016","15,795.635"
"Nov 19, 2016",
"Nov 20, 2016",
"Nov 21, 2016",
"Nov 22, 2016","15,789.278"
"Nov 23, 2016",
"Nov 24, 2016","15,970.472"
"Nov 25, 2016","15,518.373"
"Nov 26, 2016",
"Nov 27, 2016",
"Nov 28, 2016",
"Nov 29, 2016","15,435.159"
"Nov 30, 2016","15,495.138"
"Dec 1, 2016","15,959.799"
"Dec 2, 2016","15,743.033"
"Dec 3, 2016",
"Dec 4, 2016",
"Dec 5, 2016",
"Dec 6, 2016","15,299.767"
"Dec 7, 2016","15,733.41"
"Dec 8, 2016","15,662.382"
"Dec 9, 2016",
"Dec 10, 2016","15,630.517"
"Dec 11, 2016",
"Dec 12, 2016",
"Dec 13, 2016",
"Dec 14, 2016",
"Dec 15, 2016",
"Dec 16, 2016",
"Dec 17, 2016",
"Dec 18, 2016",
"Dec 19, 2016",
"Dec 20, 2016",
"Dec 21, 2016",
"Dec 22, 2016",
"Dec 23, 2016",
"Dec 24, 2016","15,633.595"
"Dec 25, 2016",
"Dec 26, 2016",
"Dec 27, 2016",
"Dec 28, 2016",
"Dec 29, 2016",
"Dec 30, 2016",
"Dec 31, 2016",
"Jan 1, 2017",
"Jan 2, 2017",
"Jan 3, 2017",
"Jan 4, 2017",
"Jan 5, 2017",
