system:time_start,LST_Day_1km
"Sep 15, 2016","15,107.829"
"Sep 16, 2016","15,194.093"
"Sep 17, 2016","15,104"
"Sep 18, 2016",
"Sep 19, 2016",
"Sep 20, 2016",
"Sep 21, 2016","15,259.233"
"Sep 22, 2016",
"Sep 23, 2016","15,270.616"
"Sep 24, 2016",
"Sep 25, 2016","15,254.753"
"Sep 26, 2016",
"Sep 27, 2016",
"Sep 28, 2016","15,296.651"
"Sep 29, 2016",
"Sep 30, 2016","15,355.356"
"Oct 1, 2016",
"Oct 2, 2016",
"Oct 3, 2016","15,031"
"Oct 4, 2016",
"Oct 5, 2016","15,049.557"
"Oct 6, 2016","15,060.831"
"Oct 7, 2016","15,242.306"
"Oct 8, 2016",
"Oct 9, 2016","15,292.657"
"Oct 10, 2016",
"Oct 11, 2016","15,123.64"
"Oct 12, 2016","15,289"
"Oct 13, 2016",
"Oct 14, 2016",
"Oct 15, 2016","14,978"
"Oct 16, 2016","15,319.829"
"Oct 17, 2016",
"Oct 18, 2016",
"Oct 19, 2016",
"Oct 20, 2016","15,048.729"
"Oct 21, 2016",
"Oct 22, 2016",
"Oct 23, 2016",
"Oct 24, 2016",
"Oct 25, 2016","15,252.26"
"Oct 26, 2016","15,214.167"
"Oct 27, 2016","15,358.826"
"Oct 28, 2016","15,302.648"
"Oct 29, 2016","15,144.696"
"Oct 30, 2016","15,459.959"
"Oct 31, 2016","15,070"
"Nov 1, 2016",
"Nov 2, 2016",
"Nov 3, 2016",
"Nov 4, 2016","15,221.653"
"Nov 5, 2016",
"Nov 6, 2016","15,373.696"
"Nov 7, 2016",
"Nov 8, 2016","15,530.491"
"Nov 9, 2016",
"Nov 10, 2016",
"Nov 11, 2016",
"Nov 12, 2016",
"Nov 13, 2016",
"Nov 14, 2016",
"Nov 15, 2016",
"Nov 16, 2016",
"Nov 17, 2016","15,392.673"
"Nov 18, 2016",
"Nov 19, 2016",
"Nov 20, 2016",
"Nov 21, 2016","15,365.536"
"Nov 22, 2016","15,306.004"
"Nov 23, 2016",
"Nov 24, 2016","15,521.05"
"Nov 25, 2016",
"Nov 26, 2016",
"Nov 27, 2016",
"Nov 28, 2016",
"Nov 29, 2016","15,355.614"
"Nov 30, 2016","15,307.441"
"Dec 1, 2016",
"Dec 2, 2016",
"Dec 3, 2016","15,383.411"
"Dec 4, 2016","15,074.174"
"Dec 5, 2016",
"Dec 6, 2016",
"Dec 7, 2016",
"Dec 8, 2016",
"Dec 9, 2016",
"Dec 10, 2016",
"Dec 11, 2016",
"Dec 12, 2016",
"Dec 13, 2016",
"Dec 14, 2016",
"Dec 15, 2016",
"Dec 16, 2016",
"Dec 17, 2016",
"Dec 18, 2016",
"Dec 19, 2016",
"Dec 20, 2016",
"Dec 21, 2016","15,273.484"
"Dec 22, 2016",
"Dec 23, 2016",
"Dec 24, 2016","15,294.224"
"Dec 25, 2016",
"Dec 26, 2016",
"Dec 27, 2016",
"Dec 28, 2016","15,398.315"
"Dec 29, 2016",
"Dec 30, 2016",
"Dec 31, 2016",
"Jan 1, 2017","14,916.904"
"Jan 2, 2017",
"Jan 3, 2017","15,141.174"
"Jan 4, 2017",
"Jan 5, 2017","14,819.731"
"Jan 6, 2017","15,249.614"
"Jan 7, 2017","15,118.516"
"Jan 8, 2017",
"Jan 9, 2017",
"Jan 10, 2017",
"Jan 11, 2017",
"Jan 12, 2017",
"Jan 13, 2017","14,944"
"Jan 14, 2017",
"Jan 15, 2017",
"Jan 16, 2017",
"Jan 17, 2017",
"Jan 18, 2017",
"Jan 19, 2017",
"Jan 20, 2017","15,338.536"
"Jan 21, 2017",
"Jan 22, 2017",
"Jan 23, 2017",
"Jan 24, 2017","15,154.74"
"Jan 25, 2017","15,279.043"
"Jan 26, 2017",
"Jan 27, 2017","15,284.178"
"Jan 28, 2017",
"Jan 29, 2017","15,257"
"Jan 30, 2017",
"Jan 31, 2017",
"Feb 1, 2017",
"Feb 2, 2017","15,157"
"Feb 3, 2017","14,986"
"Feb 4, 2017","15,117.308"
"Feb 5, 2017","15,364.356"
"Feb 6, 2017",
"Feb 7, 2017","15,019.117"
"Feb 8, 2017","15,074"
"Feb 9, 2017",
"Feb 10, 2017",
"Feb 11, 2017",
"Feb 12, 2017","15,125.594"
"Feb 13, 2017",
"Feb 14, 2017",
"Feb 15, 2017",
"Feb 16, 2017",
"Feb 17, 2017",
"Feb 18, 2017","14,985"
"Feb 19, 2017","15,285.226"
"Feb 20, 2017","14,842"
"Feb 21, 2017","15,360.963"
"Feb 22, 2017",
"Feb 23, 2017",
"Feb 24, 2017",
"Feb 25, 2017","15,211.299"
"Feb 26, 2017",
"Feb 27, 2017",
"Feb 28, 2017",
"Mar 1, 2017",
