system:time_start,LST_Day_1km
"Sep 15, 2016","14,964.738"
"Sep 16, 2016","14,866.789"
"Sep 17, 2016","15,086.941"
"Sep 18, 2016","15,053.525"
"Sep 19, 2016","15,315.039"
"Sep 20, 2016",
"Sep 21, 2016","15,116.731"
"Sep 22, 2016",
"Sep 23, 2016","15,155.628"
"Sep 24, 2016","14,860.375"
"Sep 25, 2016","14,726.602"
"Sep 26, 2016",
"Sep 27, 2016",
"Sep 28, 2016","15,081.908"
"Sep 29, 2016",
"Sep 30, 2016","15,277.376"
"Oct 1, 2016","14,981.639"
"Oct 2, 2016","14,822.993"
"Oct 3, 2016","14,999.616"
"Oct 4, 2016",
"Oct 5, 2016","14,905.082"
"Oct 6, 2016",
"Oct 7, 2016","15,137.908"
"Oct 8, 2016","14,915.536"
"Oct 9, 2016","15,187.963"
"Oct 10, 2016","15,182.702"
"Oct 11, 2016","14,921.562"
"Oct 12, 2016","15,206.723"
"Oct 13, 2016",
"Oct 14, 2016","15,413.053"
"Oct 15, 2016","15,089.382"
"Oct 16, 2016","15,459.353"
"Oct 17, 2016","14,887.144"
"Oct 18, 2016","15,207.027"
"Oct 19, 2016","15,316.926"
"Oct 20, 2016","15,040.169"
"Oct 21, 2016","15,243.579"
"Oct 22, 2016",
"Oct 23, 2016","15,558.981"
"Oct 24, 2016",
"Oct 25, 2016","15,108.951"
"Oct 26, 2016","15,334.615"
"Oct 27, 2016","15,258.842"
"Oct 28, 2016",
"Oct 29, 2016",
"Oct 30, 2016","14,956.091"
"Oct 31, 2016","14,989.17"
"Nov 1, 2016","15,262.522"
"Nov 2, 2016",
"Nov 3, 2016",
"Nov 4, 2016","14,771.1"
"Nov 5, 2016",
"Nov 6, 2016","15,390.176"
"Nov 7, 2016",
"Nov 8, 2016",
"Nov 9, 2016","14,984.681"
"Nov 10, 2016",
"Nov 11, 2016","14,828.63"
"Nov 12, 2016","14,970.389"
"Nov 13, 2016","14,865.907"
"Nov 14, 2016",
"Nov 15, 2016",
"Nov 16, 2016",
"Nov 17, 2016",
"Nov 18, 2016",
"Nov 19, 2016",
"Nov 20, 2016",
"Nov 21, 2016",
"Nov 22, 2016",
"Nov 23, 2016",
"Nov 24, 2016","15,179.429"
"Nov 25, 2016","15,020.944"
"Nov 26, 2016","15,147.217"
"Nov 27, 2016","14,690.31"
"Nov 28, 2016","14,877.426"
"Nov 29, 2016",
"Nov 30, 2016",
"Dec 1, 2016","15,198.313"
"Dec 2, 2016","14,470"
"Dec 3, 2016","15,124.54"
"Dec 4, 2016","14,342.645"
"Dec 5, 2016",
"Dec 6, 2016","14,948.33"
"Dec 7, 2016","14,883.865"
"Dec 8, 2016","15,312.44"
"Dec 9, 2016",
"Dec 10, 2016","14,946"
"Dec 11, 2016",
"Dec 12, 2016","15,034.742"
"Dec 13, 2016","15,286.454"
"Dec 14, 2016","15,227.651"
"Dec 15, 2016","15,512.129"
"Dec 16, 2016",
"Dec 17, 2016","15,648.99"
"Dec 18, 2016","15,288.123"
"Dec 19, 2016","15,554.496"
"Dec 20, 2016","15,388.775"
"Dec 21, 2016","14,969.082"
"Dec 22, 2016",
"Dec 23, 2016","15,036.114"
"Dec 24, 2016","15,487.853"
"Dec 25, 2016",
"Dec 26, 2016","15,592.446"
"Dec 27, 2016","15,133.82"
"Dec 28, 2016","15,490.135"
"Dec 29, 2016","15,359.996"
"Dec 30, 2016",
"Dec 31, 2016","15,313.761"
"Jan 1, 2017",
"Jan 2, 2017","15,739.353"
"Jan 3, 2017","15,348.028"
"Jan 4, 2017","15,703.182"
"Jan 5, 2017","15,281.751"
"Jan 6, 2017","15,523.658"
"Jan 7, 2017","15,675.124"
"Jan 8, 2017","15,376.868"
"Jan 9, 2017","15,701.825"
"Jan 10, 2017",
"Jan 11, 2017","15,643.062"
"Jan 12, 2017","15,375.091"
"Jan 13, 2017","15,597.737"
"Jan 14, 2017","15,563.48"
"Jan 15, 2017","15,386.218"
"Jan 16, 2017","15,811.686"
"Jan 17, 2017",
"Jan 18, 2017","15,741.564"
"Jan 19, 2017","15,354.663"
"Jan 20, 2017","15,741.447"
"Jan 21, 2017","15,560.237"
"Jan 22, 2017","15,488.346"
"Jan 23, 2017","15,672.597"
"Jan 24, 2017","15,411.75"
"Jan 25, 2017","15,822.803"
"Jan 26, 2017",
"Jan 27, 2017","15,773.521"
"Jan 28, 2017","15,605.143"
"Jan 29, 2017","15,379.783"
"Jan 30, 2017","15,385.507"
"Jan 31, 2017",
"Feb 1, 2017","15,487.672"
"Feb 2, 2017",
"Feb 3, 2017","15,794.933"
"Feb 4, 2017","15,076.487"
"Feb 5, 2017","15,799.352"
"Feb 6, 2017","15,572.516"
"Feb 7, 2017","15,696.913"
"Feb 8, 2017","15,820.056"
"Feb 9, 2017","15,393.842"
"Feb 10, 2017","15,881.585"
"Feb 11, 2017",
"Feb 12, 2017","15,977.728"
"Feb 13, 2017","15,581.964"
"Feb 14, 2017","15,201.137"
"Feb 15, 2017","15,512.778"
"Feb 16, 2017",
"Feb 17, 2017",
"Feb 18, 2017",
"Feb 19, 2017","15,339.617"
"Feb 20, 2017","15,196.285"
"Feb 21, 2017","15,272.251"
"Feb 22, 2017",
"Feb 23, 2017","15,553.906"
"Feb 24, 2017","15,534.768"
"Feb 25, 2017","15,296"
"Feb 26, 2017","15,951.956"
"Feb 27, 2017",
"Feb 28, 2017","15,946.158"
"Mar 1, 2017","15,130.12"
"Mar 2, 2017","15,813.604"
"Mar 3, 2017","15,637.218"
"Mar 4, 2017","15,319.533"
"Mar 5, 2017","15,552.22"
"Mar 6, 2017",
"Mar 7, 2017","16,067.339"
"Mar 8, 2017","15,558.494"
"Mar 9, 2017","15,901.847"
"Mar 10, 2017",
"Mar 11, 2017","15,781.451"
"Mar 12, 2017","15,829.913"
"Mar 13, 2017","15,505.396"
"Mar 14, 2017","15,960.581"
"Mar 15, 2017",
"Mar 16, 2017","15,984.955"
"Mar 17, 2017","15,311.099"
"Mar 18, 2017","15,789.575"
"Mar 19, 2017","15,580.657"
"Mar 20, 2017","15,616.093"
"Mar 21, 2017","15,765.916"
"Mar 22, 2017",
"Mar 23, 2017","16,065.26"
"Mar 24, 2017","15,610.537"
"Mar 25, 2017","15,871.886"
"Mar 26, 2017",
"Mar 27, 2017",
"Mar 28, 2017","15,398.344"
"Mar 29, 2017","15,241.203"
"Mar 30, 2017","15,345.195"
"Mar 31, 2017",
"Apr 1, 2017","15,452.371"
"Apr 2, 2017","15,654.86"
"Apr 3, 2017","15,723.002"
"Apr 4, 2017","15,122.483"
"Apr 5, 2017","15,078.808"
"Apr 6, 2017","15,558.164"
"Apr 7, 2017",
"Apr 8, 2017",
"Apr 9, 2017",
"Apr 10, 2017","15,338.193"
"Apr 11, 2017","15,386.165"
"Apr 12, 2017","15,226.759"
"Apr 13, 2017","15,716.579"
"Apr 14, 2017","15,388.059"
"Apr 15, 2017","15,812.426"
"Apr 16, 2017",
"Apr 17, 2017","15,182.859"
"Apr 18, 2017",
"Apr 19, 2017",
"Apr 20, 2017","15,201.751"
"Apr 21, 2017","15,032.198"
"Apr 22, 2017","15,258.623"
"Apr 23, 2017",
"Apr 24, 2017",
"Apr 25, 2017",
"Apr 26, 2017","15,430.329"
"Apr 27, 2017","15,489.948"
"Apr 28, 2017","15,299.758"
"Apr 29, 2017","15,247.141"
"Apr 30, 2017",
"May 1, 2017",
"May 2, 2017",
"May 3, 2017","14,919.072"
"May 4, 2017","14,774.754"
"May 5, 2017",
"May 6, 2017",
"May 7, 2017",
"May 8, 2017","14,970.644"
"May 9, 2017",
"May 10, 2017","14,784.396"
"May 11, 2017",
"May 12, 2017",
"May 13, 2017","14,824.356"
"May 14, 2017","14,997.815"
"May 15, 2017","15,003.362"
"May 16, 2017","14,986.785"
"May 17, 2017","15,066.544"
"May 18, 2017",
"May 19, 2017","15,229.742"
"May 20, 2017","15,194.974"
"May 21, 2017","15,132.079"
"May 22, 2017","15,350.052"
"May 23, 2017","15,172.01"
"May 24, 2017","15,385.134"
"May 25, 2017",
"May 26, 2017","15,505.285"
"May 27, 2017","15,119.537"
"May 28, 2017",
"May 29, 2017",
"May 30, 2017",
"May 31, 2017","15,331.491"
"Jun 1, 2017",
"Jun 2, 2017","15,459.739"
"Jun 3, 2017",
"Jun 4, 2017","15,207.27"
"Jun 5, 2017","15,086.907"
"Jun 6, 2017","15,071.624"
"Jun 7, 2017","15,257.232"
"Jun 8, 2017","15,068.307"
"Jun 9, 2017","15,414.997"
"Jun 10, 2017",
"Jun 11, 2017","15,079.054"
"Jun 12, 2017","14,865.404"
"Jun 13, 2017","15,130.084"
"Jun 14, 2017","15,025.096"
"Jun 15, 2017",
"Jun 16, 2017",
"Jun 17, 2017",
"Jun 18, 2017","15,141.405"
"Jun 19, 2017",
"Jun 20, 2017","15,025.109"
"Jun 21, 2017","14,957.344"
"Jun 22, 2017","14,809.333"
"Jun 23, 2017","15,194.008"
"Jun 24, 2017","14,926.632"
"Jun 25, 2017","15,469.856"
"Jun 26, 2017",
"Jun 27, 2017","15,059.512"
"Jun 28, 2017","15,082.758"
"Jun 29, 2017","15,129.285"
"Jun 30, 2017","14,870.235"
"Jul 1, 2017","15,144.746"
"Jul 2, 2017","14,717.89"
"Jul 3, 2017",
"Jul 4, 2017","14,729.381"
"Jul 5, 2017",
"Jul 6, 2017","14,705.007"
"Jul 7, 2017","14,881.096"
"Jul 8, 2017","14,962.558"
"Jul 9, 2017","14,748.383"
"Jul 10, 2017",
"Jul 11, 2017",
"Jul 12, 2017",
"Jul 13, 2017","14,703.786"
"Jul 14, 2017","14,773.299"
"Jul 15, 2017","14,910.328"
"Jul 16, 2017","14,763.987"
"Jul 17, 2017","14,856.474"
"Jul 18, 2017","14,995.675"
"Jul 19, 2017","14,651.228"
"Jul 20, 2017","15,077.789"
"Jul 21, 2017",
"Jul 22, 2017",
"Jul 23, 2017","14,735.638"
"Jul 24, 2017",
"Jul 25, 2017",
"Jul 26, 2017",
"Jul 27, 2017","14,667.542"
"Jul 28, 2017",
"Jul 29, 2017","14,894.97"
"Jul 30, 2017","14,742.265"
"Jul 31, 2017","14,789.256"
"Aug 1, 2017","14,783.727"
"Aug 2, 2017",
"Aug 3, 2017","14,767.713"
"Aug 4, 2017","14,728.677"
"Aug 5, 2017","15,019.741"
"Aug 6, 2017",
"Aug 7, 2017","14,678.855"
"Aug 8, 2017",
"Aug 9, 2017","14,674.47"
"Aug 10, 2017","14,834.365"
"Aug 11, 2017","14,759.366"
"Aug 12, 2017","14,781.923"
"Aug 13, 2017",
"Aug 14, 2017","14,883.589"
"Aug 15, 2017","14,889.95"
"Aug 16, 2017","14,941.006"
"Aug 17, 2017","15,055.265"
"Aug 18, 2017","14,832.526"
"Aug 19, 2017","14,388"
"Aug 20, 2017","14,749.217"
"Aug 21, 2017","14,902.345"
"Aug 22, 2017",
"Aug 23, 2017",
"Aug 24, 2017","14,918.368"
"Aug 25, 2017",
"Aug 26, 2017",
"Aug 27, 2017","14,977.836"
"Aug 28, 2017","15,071.927"
"Aug 29, 2017",
"Aug 30, 2017",
