system:time_start,LST_Day_1km
"Sep 15, 2016","15,352.798"
"Sep 16, 2016",
"Sep 17, 2016","15,238.302"
"Sep 18, 2016",
"Sep 19, 2016",
"Sep 20, 2016",
"Sep 21, 2016","15,390.092"
"Sep 22, 2016","15,632.709"
"Sep 23, 2016","15,499.063"
"Sep 24, 2016","15,617.163"
"Sep 25, 2016",
"Sep 26, 2016","15,437.108"
"Sep 27, 2016","15,307.798"
"Sep 28, 2016","15,386.396"
"Sep 29, 2016","15,526.3"
"Sep 30, 2016","15,374.527"
"Oct 1, 2016","15,568.301"
"Oct 2, 2016","15,458.73"
"Oct 3, 2016","15,137.754"
"Oct 4, 2016","15,201.19"
"Oct 5, 2016","15,482.574"
"Oct 6, 2016","15,702.226"
"Oct 7, 2016","15,836.167"
"Oct 8, 2016","15,537.107"
"Oct 9, 2016",
"Oct 10, 2016","15,662.309"
"Oct 11, 2016",
"Oct 12, 2016","15,745.54"
"Oct 13, 2016","15,538.91"
"Oct 14, 2016","15,463.995"
"Oct 15, 2016","15,514.6"
"Oct 16, 2016",
"Oct 17, 2016","15,528.503"
"Oct 18, 2016",
"Oct 19, 2016",
"Oct 20, 2016",
"Oct 21, 2016",
"Oct 22, 2016","15,378.743"
"Oct 23, 2016","15,321.291"
"Oct 24, 2016","15,537.121"
"Oct 25, 2016","15,538.985"
"Oct 26, 2016","15,511.02"
"Oct 27, 2016",
"Oct 28, 2016","15,819.507"
"Oct 29, 2016","15,648.927"
"Oct 30, 2016","15,449.52"
"Oct 31, 2016","15,831.975"
"Nov 1, 2016",
"Nov 2, 2016","15,451.11"
"Nov 3, 2016",
"Nov 4, 2016","15,728.974"
"Nov 5, 2016",
"Nov 6, 2016","15,772.439"
"Nov 7, 2016",
"Nov 8, 2016",
"Nov 9, 2016","15,349.272"
"Nov 10, 2016",
"Nov 11, 2016",
"Nov 12, 2016",
"Nov 13, 2016","15,397.95"
"Nov 14, 2016","15,343.885"
"Nov 15, 2016",
"Nov 16, 2016","14,913.903"
"Nov 17, 2016",
"Nov 18, 2016","15,759.776"
"Nov 19, 2016",
"Nov 20, 2016","15,379.434"
"Nov 21, 2016",
"Nov 22, 2016","15,543.252"
"Nov 23, 2016","15,395.558"
"Nov 24, 2016",
"Nov 25, 2016",
"Nov 26, 2016","15,081.926"
